id|class|attribute|sentimen|tweet_asli|tweet|clean_tweet|attribute_new
39|ekonomi|pertumbuhan|positif|Bersatu Bersama Jokowi-KMA.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]|satu jokowi kma capai hasil capai tumbuh ekonomi era perintah jk tingkat| bersatu jokowikma pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat|ekonomi
41|ekonomi|harga|netral|Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah ,  Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , #UASdifitnahKejiDanBrutal|maf rakyat butuh peluk rakyat butuh harga sembako murah listrik tarif turun butuh lap kerja janji| maaf rakyat butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja janji|ekonomi
43|ekonomi|pertumbuhan|positif|@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.l|17 april pilih jokowi kma tumbuh ekonomi merat zaman jokowi tumbuh ekonomi merat bangun| april pilih jokowikma pertumbuhan ekonomi pemerataan zaman jokowi pertumbuhan ekonomi pemerataan pembangunan|ekonomi
45|ekonomi|gaji|negatif|#UAHUASUAHUAS  ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo  Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... #2019GantiPengajian|surga bahagia bahagia sempurna tanpa gandeng tangan prabowo ustad masuk surga ckckckck salah milih guru ngaji| surga bahagia bahagiaku sempurna tanpamu gandeng tangan prabowo ustad masuk surga ckckckck salah milih guru ngaji|ekonomi
49|ekonomi|harga|positif|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.   https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦|penghargan anugerah bukti sosok pimpin aku integritas| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|ekonomi
51|ekonomi|ekonomi|netral|Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi:  http://metrobali.com/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @metrobali|presiden jokowi raja salman sepakat tingkat kerja ekonomi via| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via|ekonomi
52|ekonomi|harga|netral|gue kasih tau..Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih|kasih tau penghargan anugerah bukti sosok pimpin aku integritas| kasih tau penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|ekonomi
53|ekonomi|ekonomi|netral|Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://www.balinetizen.com/2019/04/14/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @Bali Netizen|presiden jokowi raja salman sepakat tingkat kerja ekonomi via netizen| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via netizen|ekonomi
58|ekonomi|ekonomi|negatif|Disitu pak jokowi hanya membahas game online bagi pemain profesional, bahkan sekarang udah ada piala presiden Mobile legend, dan hadiahnya sangat besar. Jika kita mau bersaing didunia online seperti game, ekonomi kita juga akan naik.|situ jokowi bahas game online main profesional udah piala presiden mobile legend hadiah saing dunia online game ekonomi| disitu jokowi membahas game online pemain profesional piala presiden mobile legend hadiahnya bersaing didunia online game ekonomi|ekonomi
59|ekonomi|gaji|positif|@Jokowi @KHMarufAmin_ 17 April Pilih Jokowi-KMA. Pada ngerti kan kalo Pak Jokowi belajar ngaji sejak sebelum jadi pejabat. Murni mendalami agama, tanpa unsur pencitraan. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih|17 april pilih jokowi kma ngerti jokowi ajar ngaji jabat murni dalam agama unsur pencitran| april pilih jokowikma ngerti jokowi belajar ngaji pejabat murni mendalami agama unsur pencitraan|ekonomi
63|ekonomi|pertumbuhan|netral|Jokowi menambahkan, capaian pertumbuhan itu perlu disyukuri karena Indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1105782861150314496/photo/1 pic.twitter.com/y4PFLSTk8lÂ |jokowi capai tumbuh syukur indonesia tumbuh kondisi ekonomi global gejolak| jokowi capaian pertumbuhan disyukuri indonesia tumbuh kondisi ekonomi global bergejolak|ekonomi
65|ekonomi|gaji|negatif|Terus lah bersuara minta keadilan. 1 suara begitu berarti.  @KPU_ID  kerja yang benar,jangan makan gaji buta. Jangan curang.|suara adil 1 suara kerja makan gaji buta curang| bersuara keadilan suara id kerja makan gaji buta curang|ekonomi
66|ekonomi|ekonomi|negatif|Jelas Jokowi lah. Prabowo dan Sandi pecicilan. Selalu pesimis tanpa jalan keluar jelas. Ekonomi Makro dan Mikro saja tak tau|jokowi prabowo sandi pecicilan pesimis jalan ekonomi makro mikro tau| jokowi prabowo sandi pecicilan pesimis jalan ekonomi makro mikro tau|ekonomi
68|ekonomi|pajak|netral|Berita terbaru (Prabowo: Saya Tak Ingin Naikkan Pajak 16 Persen dalam Setahun) telah ada di  http://PILPRES.idÂ  -  https://pilpres.id/info/prabowo-saya-tak-ingin-naikkan-pajak-16-persen-dalam-setahun.htmlÂ â€¦ pic.twitter.com/8o7biqQ0gn|berita baru prabowo naik pajak 16 persen tahun| berita terbaru prabowo naikkan pajak persen setahun|ekonomi
70|ekonomi|pertumbuhan|netral|gue kasih tau..Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.Â  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih|kasih tau capai hasil capai tumbuh ekonomi era perintah jk tingkat| kasih tau pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat|ekonomi
71|ekonomi|harga|positif|#PilihOrangBaik#PilihJelasIslamnya #PilihBajuPutih  Presiden @jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.  http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦|presiden bangun spbu setelag 71 kabupaten puncak jaya papua harga ribu liter 650 liter| presiden bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter|ekonomi
72|ekonomi|harga|positif|Bersatu Menangkan @Jokowi #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Brbagai upaya telah dilakukan utk membangun Indonesia bebas korupsi, dr pelayanan berbasis elektronik, sistem pengaduan masyarakat, penghargaan bg masyarakat yg mengungkap korupsi.|satu menang brbagai upaya utk bangun indonesia bebas korupsi layan bas elektronik sistem adu masyarakat penghargan masyarakat ungkap korupsi| bersatu menangkan brbagai upaya membangun indonesia bebas korupsi pelayanan berbasis elektronik sistem pengaduan masyarakat penghargaan masyarakat mengungkap korupsi|ekonomi
75|ekonomi|ekonomi|netral|Jangan terlalu bangga dengan jalan. Jika ekonomi jatuh terus. Nengara menag buka melihat jalanya yg megah. Seharusnya hasil bumi laut yg melimpah ruah terlebih dahulu baru idonesia maju menjadi pemenang.|banga jalan ekonomi jatuh nengara menag buka jala megah hasil bumi laut limpah ruah idonesia maju menang| bangga jalan ekonomi jatuh nengara menag buka jalanya megah hasil bumi laut melimpah ruah idonesia maju pemenang|ekonomi
78|ekonomi|harga|netral|Katanya Jas itu harga mahal dan pakaian orang2 eropa dan amerika.|jas harga mahal pakai orang eropa amerika| jas harga mahal pakaian orang eropa amerika|ekonomi
79|ekonomi|harga|netral|Prabowo Janjikan Harga Karet dan Kelapa Sawit Bikin Senyum Petani  https://nasional.sindonews.com/read/1394419/12/prabowo-janjikan-harga-karet-dan-kelapa-sawit-bikin-senyum-petani-1554858831?utm_source=dlvr.it&utm_medium=referralÂ â€¦|prabowo janji harga karet kelapa sawit bikin senyum tani| prabowo janjikan harga karet kelapa sawit bikin senyum petani|ekonomi
81|ekonomi|ekonomi|negatif|mencontoh ekonomi china, bukannya sujud seperti sekarang iniðŸ¤£|contoh ekonomi china buka sujud| mencontoh ekonomi china sujud|ekonomi
82|ekonomi|pertumbuhan|positif|Fyi gaes...Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.Â  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih|fyi capai hasil capai tumbuh ekonomi era perintah jk tingkat| fyi pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat|ekonomi
85|ekonomi|gaji|negatif|Berapa sih gaji presiden dan wakil presiden? Berapa sih tunjangannya? Kalau kalian mengatakan tdk akan ambil sepeserpun gaji dan tunjangan baru hebat. Itu baru jualan, klu hanya gaji itu namanya jualan basi.|gaji presiden wakil presiden tunjanganya ambil peser gaji tunjang hebat jual gaji nama jual basi| gaji presiden wakil presiden tunjangannya ambil sepeseun gaji tunjangan hebat jualan gaji namanya jualan basi|ekonomi
87|ekonomi|ekonomi|netral|Jamu Jokowi, Raja Salman Sajikan Nasi Mandhi - Warta Ekonomi  https://www.wartaekonomi.co.id/read223718/jamu-jokowi-raja-salman-sajikan-nasi-mandhi.htmlÂ â€¦|jamu jokowi raja salman saji nasi mandhi warta ekonomi| jamu jokowi raja salman sajikan nasi mandhi warta ekonomi|ekonomi
89|ekonomi|harga|negatif|Kami moslem, kami menghormati dan menghargai umat agama Laen. Kami cinta damai karena Islam mengajarkan utk berbuat baik kpd semua manusia tanpa terkecuali. Dan kamipun pendukung 02. Bhineka tunggal Ika  #UASdifitnahKejiDanBrutal|moslem hormat harga umat agama cinta damai islam ajar utk buat manusia kecuali kami dukung 02 bhineka tungal ika| moslem menghormati menghargai umat agama cinta damai islam mengajarkan berbuat manusia terkecuali kamipun pendukung bhineka tunggal ika|ekonomi
93|ekonomi|ekonomi|negatif|Gak perlu suudzon, di samping umroh pak jokowi juga membahas kerja sama di bidang ekonomi dengan pemerintahan Arab Saudi. Gak usah nyinyir bro, urus tuh junjunganmu yg lagi ziarah kubur moga2 aja gak nyembah kuburan.|gak sudzon samping umroh jokowi bahas kerja bidang ekonomi perintah arab saudi gak nyinyir urus junjung ziarah kubur gak nyembah kubur| suudzon samping umroh jokowi membahas kerja bidang ekonomi pemerintahan arab saudi nyinyir urus junjunganmu ziarah kubur nyembah kuburan|ekonomi
97|ekonomi|harga|negatif|Mahal banget,  buat satu beginian untuk hasilkan 1 MW harganya bisa lebih mahal dari satu power plant yang bisa produksi 10 MW|mahal banget hasil 1 harga mahal power plant produksi 10| mahal banget hasilkan harganya mahal power plant produksi|ekonomi
103|ekonomi|harga|netral|Fyi gaes...Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih|fyi penghargan anugerah bukti sosok pimpin aku integritas| fyi penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|ekonomi
104|ekonomi|harga|negatif|Ketika wanita lain cerewat pada suaminya #TerimaKasihIstriku kamu hanya cerewet sama tukang sayur yang harganya naik. @jokowi|wanita cerewat suami cerewet tukang sayur harga| wanita cerewat suaminya cerewet tukang sayur harganya|ekonomi
106|ekonomi|ekonomi|netral|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian .|sisi industri kreatif inovatif era industri global jokowi gerak ubah badan ekonomi kreatif bekraf menteri| sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian|ekonomi
108|ekonomi|gaji|netral|Awal mula Mudzakir menjadi guru ngaji Jokowi pada 2001. Ketika itu banyak anak-anak dan orang dewasa meminta diajari membaca Al Quran secara privat.  #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih|mudzakir guru ngaji jokowi 201 anak anak orang dewasa ajar baca quran privat| mudzakir guru ngaji jokowi anakanak orang dewasa diajari membaca quran privat|ekonomi
112|ekonomi|pajak|negatif|namun adlh antara masyarakat banyak yg bekerja nyata & membayar pajak namun dieksploitasi & dirampok hak-2 & hartanya, dengan sedikit org yg menetapkan aturan, meraup keuntungan, serta ingin selalu mengeksploitasi & merampok harta negara & bangsa serta menghindari pajak.|masyarakat nyata bayar pajak eksploitasi rampok hak 2 harta tetap atur raup untung eksploitasi rampok harta negara bangsa hindar pajak| masyarakat nyata membayar pajak dieksploitasi dirampok hak hartanya menetapkan aturan meraup keuntungan mengeksploitasi merampok harta negara bangsa menghindari pajak|ekonomi
113|ekonomi|ekonomi|netral|@Dinikurnia21 17 April Coblos Jokowi-Ma'ruf. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi  https://bit.ly/2OgymxtÂ |17 april coblos jokowi ma ruf pilih pimpin pencapaianya 5 capai ekonomi perintah jokowi| april coblos jokowima ruf pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi|ekonomi
115|ekonomi|ekonomi|netral|@KHMarufAmin_ 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pemerintah Jokowi juga menyebut masa depan ekonomi Indonesia Di tangan anak-anak muda kreatif.  https://bit.ly/2UAuzkRÂ |17 april pilih jokowi kma perintah jokowi sebut ekonomi indonesia tangan anak anak muda kreatif| april pilih jokowikma pemerintah jokowi menyebut ekonomi indonesia tangan anakanak muda kreatif|ekonomi
117|ekonomi|harga|negatif|Gak ngaruh, jokowi mau ke kutub utara juga, rakyat taunya barang dan harga harga murah, berobat gampang, percuma mau kemana aja, kalau hutang negara malah nambah|gak ngaruh jokowi kutub utara rakyat tau barang harga harga murah obat gampang mana hutang negara nambah| ngaruh jokowi kutub utara rakyat taunya barang harga harga murah berobat gampang kemana hutang negara nambah|ekonomi
118|ekonomi|ekonomi|netral|Terpilih jadi Presiden/Wapres, Prabowo-Sandi Berjanji Akan Berikan Gajinya bagi Kaum Miskinâ€¦  https://goo.gl/fb/2VTnKiÂ |pilih presiden wapres prabowo sandi janji gaji kaum miskin| teilih presiden wapres prabowosandi berjanji gajinya kaum miskin|ekonomi
121|ekonomi|harga|positif|Jokowi-KMA Pemimpin Optimis. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦|jokowi kma pimpin optimis penghargan anugerah bukti sosok pimpin aku integritas| jokowikma pemimpin optimis penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|ekonomi
127|ekonomi|harga|negatif|Ya allah apa mgkn sosok seorg jokowi berani sprti itu kl capres anda sih mgkn jg tlg @MardaniAliSera  jgn fitnah presidenku sprti itu... kl jokowi diberi jln itu krn beliau org baik pak dan presiden yg sangat dihargai, ah sy curiga jgn2 anda mau blg ini cawapres anda ðŸ˜‚ðŸ˜‚ðŸ˜‚|alah mgkn sosok seorg jokowi berani capres mgkn tlg fitnah presiden jokowi jln beliau presiden harga curiga blg cawapres| allah mgkn sosok seorg jokowi berani capres mgkn tlg fitnah presidenku jokowi jln beliau presiden dihargai curiga blg cawapres|ekonomi
131|ekonomi|ekonomi|negatif|Gaji mah ga seberapa. Yg penting cegah dan berantas korupsi. Mau ga cegah dan berantas korupsi kolusi nepotisme ? Ini yg jadi pertanyaan masyarakat.  Sekarang ini baru Jokowi dan Ahok yg sangat dipercaya masyarakat utk kemauan dan keberanian berantas Korupsi Kolusi Nepotisme.|gaji mah ga cegah berantas korupsi ga cegah berantas korupsi kolusi nepotisme pertanyan masyarakat jokowi ahok percaya masyarakat utk mau berani berantas korupsi kolusi nepotisme| gaji mah cegah berantas korupsi cegah berantas korupsi kolusi nepotisme masyarakat jokowi ahok dipercaya masyarakat kemauan keberanian berantas korupsi kolusi nepotisme|ekonomi
134|ekonomi|gaji|positif|Mencoblos=beramal Kenapa demikian? Karena @prabowo dan @sandiuno jika terpilih (insyaallah) mereka akan menginfakkan gajinya buat kaum dhuafa.. Suara kita g sia-sia kawan.. Mari kita dukung niat mereka #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS https://twitter.com/dhikabebeh/status/1117495100995538944Â â€¦|coblos amal pilih insya infak gaji kaum dhuafa suara sia sia kawan mari dukung niat| mencoblos beramal teilih insyaallah menginfakkan gajinya kaum dhuafa suara siasia kawan mari dukung niat|ekonomi
135|ekonomi|ekonomi|netral|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Pak @Jokowi  https://bit.ly/2OgymxtÂ |pilih pimpin pencapaianya 5 capai ekonomi perintah| pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan|ekonomi
136|ekonomi|harga|negatif|Kalau dihargai, masa sudah satu periode bapak Jokowi tidak memberikan jabatan sama loe. Pikirin itu . . . .|harga periode jokowi jabat pikirin| dihargai periode jokowi jabatan pikirin|ekonomi
