id|class|attribute|sentimen|tweet_asli|tweet|clean_tweet|attribute_new
15|ekonomi|harga|netral|mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘|mantulz isi tenang umroh kel cinta istri anak ahirnya keluarga aset plg harga sehat sl pakde| mantulz mengisi tenang umroh kel tercinta istri anak ahirnya keluarga asset plg berharga sehat sll pakdeee|kesejahteraan
16|ekonomi|ekonomi|positif|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq|sisi industri kreatif inovatif era industri global jokowi gerak ubah badan ekonomi kreatif bekraf menteri coblos 01 kerja| sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian coblos kerja|lapangan kerja
17|ekonomi|harga|positif|dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS|16 pakta integritas prabowo sandi ulama libat ijtimak ulama pancasila nkri harga mati khilafah khilafah bual makhluk kolam| pakta integritas prabowo sandi ulama terlibat ijtimak ulama pancasila nkri harga mati khilafah khilafah bualan makhluk kolam|ekonomi
18|ekonomi|harga|netral|Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­|dengar mbak vidya curup beli lipstik purbasari harga 25 ribu beli lipstik nyx gak 25 ribu| dengar mbak vidya curup beli lipstik purbasari harga ribu beli lipstik nyx ribu|ekonomi
19|ekonomi|gaji|positif|Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW|prabowo tni puluh ambil gaji rupiah sandi wagub susah cari orang gak ambil gaji hasil kerja negara| prabowo tni puluhan ambil gajinya serupiah sandi wagub susah cari orang ambil gaji hasil kerja negara|kesejahteraan
20|ekonomi|harga|netral|Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173Â â€¦|asalamu alaikum 1 suara sgt harga upaya menang 02 rela suara jkt ktp daerah moga suara serta balas dgn doa moga alah swt kabul amin rab| assalamu alaikum suara sgt berharga upaya memenangkan merelakan suara jkt ktp daerah semoga suara disertakan terbalaskan doa semoga allah swt mengabulkan aamiin rabb|ekonomi
21|ekonomi|gaji|negatif|Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  -  Kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !!  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1555171378Â â€¦|pilih prabowo sandiaga janji ambil gaji orang orang superkaya rendah hati konotasi angkuh| teilih prabowosandiaga janji ambil gaji orangorang superkaya rendah hatilah berkonotasi angkuh|kesejahteraan
22|ekonomi|harga|negatif|@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .Jika tdk maka 02 akan gagal.Ayo semua  tirakat/ munajad.In|gak harga rawan puasa tirakat munajad malam suntuk doa menang 02 mhn balas twet kontribusi ngopi rokok tirakat mujahadah 02 gagal tirakat munajad insya alah menang 02| menghargai relawan puasa tirakatan munajad semalam suntuk berdoa kemenangan mhn dibalas tweet kontribusi ngopi rokok tirakat mujahadah gagal tirakat munajad|ekonomi
23|ekonomi|gaji|positif|Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan  #17AprilTusukPrabowoSandi|prabowo sandi menang otomatis sedekah kaum farkir miskin dhuafa gaji berfua ambil sedekah| prabowo sandi menang otomatis bersedekah kaum farkir miskin dhuafa gaji berfua diambil disedekahkan|ekonomi
24|ekonomi|ekonomi|positif|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦|kepercayan mrk alam milik wakil alam bidang ekonomi coblos 01| kepercayaan mrk beengalaman memiliki wakil beengalaman dibidang ekonomi coblos|lapangan kerja
25|ekonomi|ekonomi|negatif|UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL,COBLOS PRABOWO  ANDA IKUT ANDIL DLM BERAMAL , GAJI BELIAU TDK DIAMBIL  TP UNTK AMAL***|umat islam waras cerdas senang amal coblos prabowo andil amal gaji beliau ambil untk amal| ummat islam waras cerdas senang beramal coblos prabowo andil beramal gaji beliau diambil untk amal|ekonomi
26|ekonomi|ekonomi|positif|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦|hasil bidang infrastruktur jokowi hasil baik ekonomi indonesia coblos 01| keberhasilan dibidang infrastruktur jokowi berhasil memperbaiki ekonomi indonesia coblos|lapangan kerja
27|ekonomi|ekonomi|negatif|Model ngeles petruk Sudah ketaker  Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya  Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni  , lha juragannya kyk gini pek*k nya  ..ðŸ˜¢ðŸ˜¬ #UASdifitnahKejiBalasDiTPS @prabowo @sandiuno|model ngeles truk ketaker busa depan sandi ngomongin ekonomi makro congkak untung sandi sabar gak kick pantesan menteri pintar mbodoni juraganya gin pek| model ngeles petruk ketaker berbusa didepan sandi ngomongin ekonomi makro congkaknya untung sandi sabar kick pantesan menterinya pintar mbodoni juragannya gini pek|ekonomi
28|ekonomi|gaji|positif|Dengan memilih 02 kita sudah bersodakoh,  karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. Jadikan prabowo sandi presiden dan wakil presiden RI  #SAVE_UAS|pilih 02 bersodakoh karna prabowo sandi sumbang gaji negara fakir miskin yatim piatu masjid jadi prabowo sandi presiden wakil presiden ri| memilih bersodakoh prabowo sandi menyumbangkan gaji negara fakir miskin yatim piatu masjid jadikan prabowo sandi presiden wakil presiden ri|lapangan kerja
29|ekonomi|ekonomi|positif|Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin..  Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung #PrabowoSandi #02MenangAdilMakmur|alhamdulilah capres 02 sedekah gaji rakyat miskin korban gempa pasigala butuh bantu| alhamdulillah capres sedekahkan gajinya rakyat miskin korban gempa pasigala butuh bantuan|ekonomi
30|ekonomi|harga|netral|No. 5 donk mang.  Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS|5 sayah percaya saudara juang 02 ikhlas negeri ubah lebik lg masyarakat damai tenang aman kesejahteran tingkat harga rendah stabil| sayah percaya saudara seperjuangan ikhlas negeri berubah lebik lg masyarakatnya damai tenang aman kesejahteraan meningkat harga rendah stabil|ekonomi
31|ekonomi|gaji|negatif|@DivHumas_Polri  Gakan di ladenin sama pak pulisi   Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!!  lapor nya nanti aja tunggu udah ganti presiden   #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrut|gakan ladenin pulisi karna pulisi gaji pake duit rakyat lapor tungu udah ganti presiden| polri gakan ladenin pulisi pulisi gaji pake duit bukaan rakyat lapor tunggu ganti presiden|kesejahteraan
32|ekonomi|gaji|negatif|baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. TOLOL DIPELIHARA, DASAR EBONG  https://twitter.com/AkunTofa/status/1117528741809229824Â â€¦|bagus dukung jokowi tebang pohon bkn golok gergaji ranting pohon elektabilitas jokowi nyungseb bkn lawan politik dukung tolol pelihara dasar ebong| baguslah pendukung jokowi tebang pohon golok gergaji ranting pohon elektabilitas jokowi nyungseb lawan politiknya pendukung tolol dipelihara dasar ebong|kesejahteraan
33|ekonomi|harga|positif|Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi #2019JokowiKyaiMaruf #1PeriodeLagiUntukJokowi #PesonaBonoSurfing  https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ |harga cabai rp 10 0 harga bawang rp 5 0 petan kasihan jokowi| harga cabai harga bawang petaninya kasihan jokowi|ekonomi
34|ekonomi|ekonomi|netral|Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  https://apahabar.com/2019/04/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerjasama-ekonomi/Â â€¦ via @apahabar.com|presiden jokowi raja salman sepakat tingkat kerjasama ekonomi via| presiden jokowi raja salman sepakat tingkatkan kerjasama ekonomi via|ekonomi
35|ekonomi|harga|negatif|02 kelar hidupmu.. bisanya cuma harga mahal turunkan solusi 0% kubu Prabowo bahlull|02 kelar hidup bisa harga mahal turun solusi 0 kubu prabowo bahlul| kelar hidupmu bisanya harga mahal turunkan solusi kubu prabowo bahlull|lapangan kerja
36|ekonomi|gaji|positif|Tak akan terima gaji sbg presiden dan wapres. Akan disumbangkan ke negara dan fakir miskin..pertama dlm sejarah bangsa Indonesia..  DEBAT PILPRES: PERNYATAAN PENUTUP PRABOWO-SANDIAGA UNO  https://youtu.be/rMQzSqN-U3cÂ  lewat @YouTube|terima gaji sbg presiden wapres sumbang negara fakir miskin sejarah bangsa indonesia debat pilpres pernyatan tutup prabowo sandiaga uno| terima gaji sbg presiden wapres disumbangkan negara fakir miskin sejarah bangsa indonesia debat pilpres pernyataan penutup prabowosandiaga uno|ekonomi
37|ekonomi|pajak|positif|Kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana,, tp ini pakai pajak dr Semua Warga negara dan setiap lewat pun harus bayar.|infrastructure bangun pakai uang pribadi ga dukung pakai pajak warga negara bayar| infrastructure bangun pakai uang pribadi mendukung pakai pajak warga negara bayar|ekonomi
38|ekonomi|harga|positif|#PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦|penghargan anugerah bukti sosok pimpin aku integritas| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|ekonomi
39|ekonomi|pertumbuhan|positif|Bersatu Bersama Jokowi-KMA.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]|satu jokowi kma capai hasil capai tumbuh ekonomi era perintah jk tingkat| bersatu jokowikma pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat|ekonomi
40|ekonomi|harga|netral|Orang luar negeri sangat menghargai prestasi yg sudah dilakukan JOKOWI tetapi dinegaranya sendiri banyak yg mencaci|orang negeri harga prestasi jokowi negara caci| orang negeri menghargai prestasi jokowi dinegaranya mencaci|kesejahteraan
41|ekonomi|harga|netral|Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah ,  Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , #UASdifitnahKejiDanBrutal|maf rakyat butuh peluk rakyat butuh harga sembako murah listrik tarif turun butuh lap kerja janji| maaf rakyat butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja janji|ekonomi
42|ekonomi|ekonomi|netral|#GameofThrones Winter is coming Pidato Jokowi di IMF Bank Dunia  Ibaratkan Ekonomi Dunia seperti Game Of Thrones  Game of Throneâ€™, Presiden Jokowi: Penting, Kekuatan Bersama Untuk Kalahkan â€˜Evil Winterâ€™  http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/Â â€¦ â€¦ #2019TetapJokowi pic.twitter.com/B8bZPjbFFi|winter coming pidato jokowi imf bank dunia ekonomi dunia game thrones game throne presiden jokowi kuat kalah evil winter| winter coming pidato jokowi imf bank dunia ekonomi dunia game thrones game throne presiden jokowi kekuatan kalahkan evil winter|lapangan kerja
43|ekonomi|pertumbuhan|positif|@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.l|17 april pilih jokowi kma tumbuh ekonomi merat zaman jokowi tumbuh ekonomi merat bangun| april pilih jokowikma pertumbuhan ekonomi pemerataan zaman jokowi pertumbuhan ekonomi pemerataan pembangunan|ekonomi
44|ekonomi|ekonomi|netral|Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi   http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ #01OptimisIndonesiaMaju pic.twitter.com/Gudihikymw|jokowi raja salman sepakat tingkat kerja ekonomi| jokowi raja salman sepakat tingkatkan kerja ekonomi|lapangan kerja
45|ekonomi|gaji|negatif|#UAHUASUAHUAS  ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo  Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... #2019GantiPengajian|surga bahagia bahagia sempurna tanpa gandeng tangan prabowo ustad masuk surga ckckckck salah milih guru ngaji| surga bahagia bahagiaku sempurna tanpamu gandeng tangan prabowo ustad masuk surga ckckckck salah milih guru ngaji|ekonomi
46|ekonomi|gaji|negatif|Buat anggota @KPU_ID anda tdk layak digaji, sebaiknya rasa malu diutamakan daripada isi perut. Gede bacot minim torehan prestasi.  cc @jokowi|angota layak gaji malu utama isi perut gede bacot minim toreh prestasi| anggota id layak digaji malu diutamakan isi perut gede minim torehan prestasi cc|kesejahteraan
47|ekonomi|harga|netral|Gasah mengejek program pa jokowi , karena program ini jg tdk asal ,pasti sdh dipikirkan mateng ,seperti program kis dulu ....mari kita hargai jgn saling menghujat .|gasah ejek program jokowi program pikir mateng program kis mari harga hujat| gasah mengejek program jokowi program dipikirkan mateng program kis mari hargai menghujat|kesejahteraan
48|ekonomi|harga|netral|Monggo silahkan..itu hak anda...hargai juga kami yg inginkan perubahan lebih baik...|silah hak harga ubah| monggo silahkan hak hargai perubahan|kesejahteraan
49|ekonomi|harga|positif|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.   https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦|penghargan anugerah bukti sosok pimpin aku integritas| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|ekonomi
50|ekonomi|ekonomi|negatif|He, he, he, sok bijak nih antek ORBA! Pikirkan Letjen pecatan yang bilang biang kerok ekonomi Indonesia adalah Presiden sebelum Jokowi, ada Jenderal SBY! Gimana demokrat ngga beralih dukungan ke Jokowi coba?|bijak antek orba pikir letjen pecat bilang biang kerok ekonomi indonesia presiden jokowi jenderal sby gimana demokrat alih dukung jokowi coba| bijak antek orba pikirkan letjen pecatan bilang biang kerok ekonomi indonesia presiden jokowi jenderal sby gimana demokrat beralih dukungan jokowi coba|lapangan kerja
51|ekonomi|ekonomi|netral|Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi:  http://metrobali.com/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @metrobali|presiden jokowi raja salman sepakat tingkat kerja ekonomi via| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via|ekonomi
52|ekonomi|harga|netral|gue kasih tau..Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih|kasih tau penghargan anugerah bukti sosok pimpin aku integritas| kasih tau penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|ekonomi
53|ekonomi|ekonomi|netral|Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://www.balinetizen.com/2019/04/14/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @Bali Netizen|presiden jokowi raja salman sepakat tingkat kerja ekonomi via netizen| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via netizen|ekonomi
54|ekonomi|ekonomi|positif|Dalam penjelasannya Kyai @KHMarufAmin_ mau menjadi cawapres karna @jokowi punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi Indonesia, membangun ekonomi dri bawah.   https://bit.ly/2Zbe65vÂ  #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih|jasa kyai cawapres karna komitmen kait ekonomi umat dgn sebut arus ekonomi indonesia bangun ekonomi| penjelasannya cawapres komitmen terkait ekonomi umat disebutnya arus ekonomi indonesia membangun ekonomi|lapangan kerja
55|ekonomi|harga|positif|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.  https://bit.ly/2IpbIDdÂ |menteri prestasi mimpi era mana menteri raih penghargan| menterinya berestasi pemimpinnya era dimana menterinya meraih penghargaan|kesejahteraan
56|ekonomi|ekonomi|negatif|#PopulerB1 4: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi  http://brt.st/6b4KÂ |4 jokowi naik tax ratio drastis guncang ekonomi| jokowi naikkan tax ratio drastis guncang ekonomi|lapangan kerja
57|ekonomi|pertumbuhan|positif|Lalu berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]|capai hasil capai tumbuh ekonomi era perintah jk tingkat| pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat|lapangan kerja
58|ekonomi|ekonomi|negatif|Disitu pak jokowi hanya membahas game online bagi pemain profesional, bahkan sekarang udah ada piala presiden Mobile legend, dan hadiahnya sangat besar. Jika kita mau bersaing didunia online seperti game, ekonomi kita juga akan naik.|situ jokowi bahas game online main profesional udah piala presiden mobile legend hadiah saing dunia online game ekonomi| disitu jokowi membahas game online pemain profesional piala presiden mobile legend hadiahnya bersaing didunia online game ekonomi|ekonomi
