id|sentimen|clean_tweet|sentimen_score_lb
43|positif| april pilih jokowikma pertumbuhan ekonomi pemerataan zaman jokowi pertumbuhan ekonomi pemerataan pembangunan|0.006216849942841475
45|negatif| surga bahagia bahagiaku sempurna tanpamu gandeng tangan prabowo ustad masuk surga ckckckck salah milih guru ngaji|-0.009022511426290786
49|positif| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|0.045363216715257525
51|netral| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via|0.0222425124533759
52|netral| kasih tau penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|0.04100160972894312
53|netral| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via netizen|0.018178625347316103
58|negatif| disitu jokowi membahas game online pemain profesional piala presiden mobile legend hadiahnya bersaing didunia online game ekonomi|0.011089525659705357
59|positif| april pilih jokowikma ngerti jokowi belajar ngaji pejabat murni mendalami agama unsur pencitraan|0.008911084130545999
63|netral| jokowi capaian pertumbuhan disyukuri indonesia tumbuh kondisi ekonomi global bergejolak|-0.006831472407720593
65|negatif| bersuara keadilan suara id kerja makan gaji buta curang|0.005158106572848421
66|negatif| jokowi prabowo sandi pecicilan pesimis jalan ekonomi makro mikro tau|-0.03134110937193722
68|netral| berita terbaru prabowo naikkan pajak persen setahun|0.004042608180169317
70|netral| kasih tau pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat|-0.01736542349689644
71|positif| presiden bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter|0.016383189625756557
72|positif| bersatu menangkan brbagai upaya membangun indonesia bebas korupsi pelayanan berbasis elektronik sistem pengaduan masyarakat penghargaan masyarakat mengungkap korupsi|0.03845996827124582
75|netral| bangga jalan ekonomi jatuh nengara menag buka jalanya megah hasil bumi laut melimpah ruah idonesia maju pemenang|-0.001661795453264653
78|netral| jas harga mahal pakaian orang eropa amerika|0.0026309178262234278
79|netral| prabowo janjikan harga karet kelapa sawit bikin senyum petani|0.021853984478752968
81|negatif| mencontoh ekonomi china sujud|0.020561481634907484
82|positif| fyi pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat|-0.018412459579370665
85|negatif| gaji presiden wakil presiden tunjangannya ambil sepeseun gaji tunjangan hebat jualan gaji namanya jualan basi|0.004932962564753025
87|netral| jamu jokowi raja salman sajikan nasi mandhi warta ekonomi|0.00833616921805464
89|negatif| moslem menghormati menghargai umat agama cinta damai islam mengajarkan berbuat manusia terkecuali kamipun pendukung bhineka tunggal ika|0.010580601406777659
93|negatif| suudzon samping umroh jokowi membahas kerja bidang ekonomi pemerintahan arab saudi nyinyir urus junjunganmu ziarah kubur nyembah kuburan|-0.011568592817406428
97|negatif| mahal banget hasilkan harganya mahal power plant produksi|0.033495740292732425
103|netral| fyi penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|0.03969281462585034
104|negatif| wanita cerewat suaminya cerewet tukang sayur harganya|0.010612000865568133
106|netral| sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian|0.06266936455727909
108|netral| mudzakir guru ngaji jokowi anakanak orang dewasa diajari membaca quran privat|0.007948481868051915
112|negatif| masyarakat nyata membayar pajak dieksploitasi dirampok hak hartanya menetapkan aturan meraup keuntungan mengeksploitasi merampok harta negara bangsa menghindari pajak|0.004852975183968028
113|netral| april coblos jokowima ruf pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi|0.021514065284186916
115|netral| april pilih jokowikma pemerintah jokowi menyebut ekonomi indonesia tangan anakanak muda kreatif|0.028943202744120742
117|negatif| ngaruh jokowi kutub utara rakyat taunya barang harga harga murah berobat gampang kemana hutang negara nambah|0.01811928152357897
118|netral| teilih presiden wapres prabowosandi berjanji gajinya kaum miskin|-0.0259966128438555
121|positif| jokowikma pemimpin optimis penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|0.0659251700680272
127|negatif| allah mgkn sosok seorg jokowi berani capres mgkn tlg fitnah presidenku jokowi jln beliau presiden dihargai curiga blg cawapres|-0.01836283331489996
131|negatif| gaji mah cegah berantas korupsi cegah berantas korupsi kolusi nepotisme masyarakat jokowi ahok dipercaya masyarakat kemauan keberanian berantas korupsi kolusi nepotisme|0.07504870471169954
134|positif| mencoblos beramal teilih insyaallah menginfakkan gajinya kaum dhuafa suara siasia kawan mari dukung niat|0.030591169940173645
135|netral| pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan|0.031299483806978196
136|negatif| dihargai periode jokowi jabatan pikirin|0.007671188630490955
137|netral| berita terbaru naikkan rasio pajak prabowo terkenang orde|0.016599118139788992
138|positif| kasih tau jokowi bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter|0.014508761339033333
143|positif| bersatu dukung jokowiamin menterinya berestasi pemimpinnya era dimana menterinya meraih penghargaan|0.022824337305830594
149|negatif| jokowi naikkan tax ratio drastis guncang ekonomi|0.011468039003250271
152|netral| fyi menterinya berestasi pemimpinnya era dimana menterinya meraih penghargaan|0.022683870154626584
153|negatif| dikritik infrastruktur pembiayaan china mencontoh kemandirian china berhasil nyambung koalisi demokrat mengkritik kegagalan ekonomi kesalahan pemimpin|-0.0447919434197268
155|positif| mencoblos prabowo sandi beramal gaji prabowo sandi disumbang dhuafa anak yatim|0.04136804073109754
156|positif| presiden jokowi raja salman bin abdulaziz alsaud pertemuan bilateral sepakat meningkatkan kerja bidang ekonomi|0.019278444910196695
161|positif| fyi jokowi bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter|0.013556910354965852
162|negatif| difitnah ulama oposisi polri diam digaji uang negara coba pro langsung gaspol tolong teilih buang petinggi polri era tito pedalaman ganti|-0.013769807444220633
163|netral| debat kemarin berdua ambil gaji kelak teilih presiden wakil presiden dasar mengambil hak terimakasih|0.012511674785183433
164|netral| pemerintah menyebut ekonomi indonesia tangan anakanak muda kreatif|0.03618937059016955
166|negatif| laku semuan pernyataan masyarakat cerdas muak ketidak adilan ketidak pastian hukum ketidakpastian ekonomi orang anti kritik pembatasan kebebasan beendapat semoga allah hidayah perubahan|-0.017795729844225897
174|netral| jokowi warga papua berhak merasakan harga bbm pulau jawa|0.031689876543902804
176|netral| jalan tol trans sumatera melanjutkan jokowi duluan ekonomi berkembang setahun disaat ekonomi negara berkembang minus rupiah stabil zaman sby inflasi negara|-0.0008049558799823316
177|netral| impact negara gimana gamers difasilitasi bikin negara mandang gamers indo hebat diadain penyelenggaraan game internasional indo impact sponsor kunjungan wisatawan meningkat ekonomi maju|0.0064152520647648625
178|netral| subsidi sasaran setuju bicara daya beli masyarakat melemah sesaui topik ekonomi bahas setuju|0.009463889608954541
179|netral| psimis orang pecinta game developer game nyerap tenage kerja iyalah game jualan printilan dibutuhin diamond mobilegend dibangun pelan langsung ngubah ekonomi makro|-0.01101036814540321
180|netral| lampung aceh makan malam pake jalan pake tol bensin irit barang cepat transport bahan pangan murah harga bahan pokok murah bikin harga bahan pokok dimana|0.018078029451388568
182|negatif| dolar turun tong ngerti ekonomi bicara ekonomi belajar ekonomi|0.005799741570197475
185|negatif| bayar jalan tetep bayar nda langsung pajak gabayar darimana duit perawatannya|-0.004486391777906687
186|netral| emang terbukti sandi gubernur ambil gajinya|0.026084750418524646
190|netral| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi news|0.019771122180778575
192|positif| infrastruktur perekonomian pemerataan membangun gratis dibangun hutang dibayar pajak rakyat jagalah amanah rakyat teilih menghianati demokrasi sehat presidenku|0.03477333696464766
193|negatif| litah tk bertulng owo bilng mndiri kaki sndiri bljr cina pjk hpus gji elit exsekutif omng sembako murh listrik murh jokowi negara ambruk murah setahun thun negara nombok trus harga|0.007957939831257872
195|positif| perubahan utama keadilan sosial rakyat indonesia harga sembako murah|0.05772801150473961
196|positif| yusuf mansur menilai ma ruf amin sosok ideal mendampingi jokowi maju pemilihan presiden pilpres pasangan diharapkan mendongkrak ekonomi syariah|0.04125163413311599
200|negatif| bertanding sampe kalah gubernur indonesia anies wina melompat pakar ekonomi kelola keuangan harga ekonomi masy meningkat trus ajakannya suruh ikat pinggang kencang sabar sorry terbiasa jalan kenal sensi|0.003728714633223373
205|netral| salam kebangsaan nkri pancasila harga mati sabang maroke politik penonton politik pendapat demokrasi pilih presiden l ngsung rakyat sis|0.014236501836825486
211|positif| liat video netes air mata doakan semoga menang nasib ekonomi ojol aaminnnn|-0.015016815507262079
214|netral| ngapain digaji udahhh kayaaa raya congggg ngambil dikit gakpapa dikit hehe salam jari prabowo sandi|-0.0051643292207092725
215|negatif| muslim kaffahnya gaji karyawannya dibayar ngemplang pajak panama papers lupa indonesia bubar maju jalan lucinta luna suka batangan homo ingaaaat|0.00021508707623762636
218|negatif| kedaulatan negara ditentukan kedaulatan ekonomi kesejahteraan berdaulat ekonomi salah kelola rezim orba jokowi membenahi dasar pondasi ekonomi analisanya|0.018593459471522387
219|netral| pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat|-0.02045828842152296
221|negatif| iya isi dompet kaya ekonomi indonesia salah jalan dompet pasangin kompas pake gps ngumpulin modalnya|-0.0034850720710324903
224|negatif| pemahaman tata negara pemahaman peraturan pemahaman kebijakan ekonomi pemahaman kursi mentri diisi kompeten ketimbang prabowo jatah kursi menteri paol pendukungnya|0.07007289323903568
231|netral| gelar pertemuan bilateral presiden jokowi raja salman sepakat kerja ekonomi ditingkatkan bidang energi pariwisata|0.011339828967901797
236|negatif| salah arahnya pembangunan ekonomi indonesia terlepas andil menyalahkan kesalahan kesalahan presidenpresiden|-0.050926512021729736
238|negatif| harga tiket pesawat diturunkan brharap aspek trlbh dngan mahal harga tiket pswt terbang mahal tarif biaya expdisi kota melonjak|0.03699388620028474
245|negatif| die zaman jokowi ekonomi anjlok gadget bayar wifi bilang anjlok n serba mahal|0.014537567406836871
249|netral| prabowo berbuat rakyat gaji karyawannya dibayar heheheheee|-0.00971796156108922
250|negatif| akui kekurangan akui prabowo kristen mualaf ibunya kristen hashim kristen sholat wudhu gerakan salah ngaji dipecat tni elit bajingan|-0.022037997809938377
256|netral| om prabs membangkitkan ekonomi lepas hutang dunia lepas cengkraman elite global kuncinya pakai uang kertas pakai emas perak alat tukar resiko melawan dunia hadapi bangsa|-0.0106034066270711
257|negatif| gaji karyawan terkatungkatung kabar|0.0066699604743083
259|netral| presiden jokowi raja salman tingkatkan kerja ekonomi|0.01857755762361785
268|negatif| rakyat pekerjaan pekerjanya diimpor china rakyat panen padi berasnya impor rakyat sembako murah suruh tanam petani karet kenaikan harga suruh tanam jengkol jokowi mmg tau kemauan rakyat rabb semoga otakku sehat|0.036314812570848405
271|positif| kepemimpinan presiden jokowi indonesia maju perekonomian dunia menentu|0.0001145488981297239
277|netral| video sudut pandang berbeda video membahas real energi sosial lingkungan ekonomi politik budaya batubara|0.013518382446377101
280|netral| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi|0.0222425124533759
281|negatif| media asing tunjukkan beranganangan lantas menabur fitnah jijik kebohongan kesombongan kau dibanding kau apaapanya samasama makan gaji pembayar pajak kau tidurnya|-0.010339649119980412
282|netral| dpt harga rb toko abang|0.015435480300115979
291|netral| prabowosandi tegaskan ambil gaji teilih|0.02066910812919586
292|netral| teilih prabowosandiaga janji ambil gaji|0.005284492744580477
294|netral| penutup debat pamungkas prabowosandi mandat seperseun gaji ambil|0.007175728594495672
295|negatif| utang prabowo bwjibun utng ln utang pribadinya puluhan triltun gaji diambil busyeettt jngn utang bebas dibayar jemarin dipailitkan biar bayar pemerintah mk bwrambiai mengumbar janji|0.003941219739693207
299|positif| janjinya ngehapusin pajak bikin hutang negara nambah mbak pajak negara|-0.0030585360920207536
301|positif| ijin aspirasi teman desanya penghasilan utama berasal lada merica semenjak rezim berkuasa harga lada murah berharap prabowo sandi berkuasa mengstabilkan harga|0.04191968438368652
302|negatif| janji ekonomi meroket nyungsep link dibawah ingatkan janji akui gagal penuhi janji cc twit|-0.0024481394375066613
303|negatif| maksudnya emangnya ngitung pertumbuhan ekonomi|-0.02831872185493916
304|netral| pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat hyperlink|-0.018412459579370665
309|netral| tax ratio xx tax amnesty pengusaha pelaku ekonomi berat teriak xx dijalankan pemerintah jokowi dibidang pajak efektif terbukti tembus target penerimaan pajak|0.013452230241658451
310|negatif| ngapain holdang holding pake istilah world class duitnya parkir negeri pengaruh ekonomi ekonomi nasional|0.005015952817319843
311|netral| id ri usut gaji rakyat|-0.029782306549281833
317|positif| sehat pangkalan harga tentukan fkir bodoh semenjak jokowi subsidi gas kurangi alih dana pkh bolak pinter mbolak subsidi|0.0073804461347897095
318|positif| apapun harga mati apapun jokowi amin nkri|0.01649479413634345
322|positif| ngemplang pajak korupsi maen proyek mafia impor keknya meriang takut prabowo menang|0.01504934156426316
326|negatif| memilukan kemiskinanlah pendukung jokowi bilang ekonomi meningkat temui acara jokowi|0.0076080505897850315
329|positif| memiliki pemikiran cemerlang kemajuan ekonomi indonesia konsep ekonomi keumatan ma ruf amin cocok mendampingi jokowi maju pilpres|0.03787299885868982
336|positif| tertarik programnya jokowi trans sumatera ekonomi sumatera berkembang|0.01864771584099414
338|positif| nasionalisme beliau didunia internasional pemilu beliau berkunjung solusi kerja perkembangan ekonomi indonesia mantab jokowidodo lanjutkan|0.003439063454724169
342|netral| gas normal kg bbm aman setara harga indonesia keadilan sosial rakyat indonesia sembako normal jualan makanan belanja pasar belanja bilang mahal dumeh|0.002626234273551012
344|positif| want test ur vice president sir solusi indonesia harga bhn pokok terjangkau lapangan kerja tersedia kesejahteraan guru lbh tenaga medis pasien perbaiki|0.042590212453037554
345|netral| presiden jokowi raja salman sepakat tingkatkan kerjasama ekonomi rri|0.017968396586036176
347|positif| alhamdulillah membangun ekonomi pemerataan adil mengalami batu aral korban kerjakan lakukan percaya anak cucu merasakannya|-0.002489442170982772
348|positif| unggul menang telak ekonomi jagonya|0.03126793563581757
350|netral| teilih prabowosandi sumbangkan gajinya anak yatim dhuafa|0.004370118338151694
360|netral| jokowisalman sepakati peningkatan kerjasama ekonomi|0.008796063818366309
361|netral| menang pilpres prabowosandi komitmen ambil gaji walapun serupiah|0.003088004446798935
362|positif| wajib jokowi periode harga mati|0.0370647862535225
365|negatif| bukti harga barang turun tol|0.024903758738539162
366|netral| jokowi salman sepakati peningkatan kerja ekonomi news jawa barat|0.010713746010527816
367|positif| nnti presidennya tolong program pertamanya harga tiket pesawat puasa lebaran diturunin kmren kasian anak rantau rindu rumah puasa lebaran dirumah kangen masakan emak cc|-0.023609858556104927
369|netral| teilih prabowosandi sumbangkan gajinya anak yatim dhuafa|0.004370118338151694
372|netral| teilih prabowo janji turunkan harga listrik okezone news|0.0020582700154776977
377|positif| debat pamungkas jokowi visi misinya kedepan jawani debat m amin surise elemen prabowo mengusung program pelitanya orba sandi uno excellent closing kena smash jokowi ekonomi makro nice debat|0.002135138006363138
382|netral| analis politik ekonomi jokowi kritik kebijakannya|-0.012603488313392903
393|negatif| jl tol kalangan menengah keatas menegah kebwh jgnkan lwt tol motor warung pinggir jln tol tutup sbagian pembelinya tol mkn belanja rest area mempercepat pertumbuhan ekonomi|-0.0003976380551686941
397|positif| ragukah pas prabowosandi tegaskan ambil gaji teilih rmol pasangan calon presiden calon wakil presiden|0.013575625890498438
400|positif| pembangunan infrastruktur dibangun masiv meningkatkan perekonomian bangsa terima kasih jokowi|0.00790864990509361
402|netral| bandara kertajati selesai ditangan jokowi menggerakan ekonomi rakyat|-0.05927775570013842
403|positif| negara china sebentar negara adikuasa ekonomi obyek kemajuan ekonomi contoh kiatkiat strategi tempuh|0.012006001281547532
407|negatif| memprioritaskan perekonomian agraris pemerintah menghambat skala prioritas bolak ngomong susah bener pahamnga|-0.07445184231539584
411|positif| era jokowi kemjuan teknologi dimanfaatkan pengembangan ekonomi kreatif|0.03331811182156411
413|positif| pilihan ttp menghargai berbeda bimillaahirraohmaanirrohim mengikuti hati nurani ttp jokowi hati jokowi|0.04621513655666499
417|negatif| gagal ngapain stagnan pas debat bahas mobile legend ekonomi indonesia|-0.011457844909197115
419|netral| langkah pemerintahan presiden jokowi pemberdayaan ekonomi keumatan bank wakaf mikro ketum arus muslimah munifah syanwani|0.0019449252879900417
423|negatif| prabowo teilih ekonomi infrastruktur dibangun besaran jokowi jadii tinggal duduk manis|0.017175200848306236
424|positif| mencoblos bersodaqoh gaji beliau diinfaqkan duafa anak yatim insya allah|-0.02343959964023716
426|positif| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|0.045363216715257525
428|netral| disaksikan sandiwara penghargaan tokoh pemerataan pembangunan|0.0458188101186291
429|negatif| bahas ekonomi infrastuktur boring nich|0.016782300160612797
434|negatif| anti china menggandeng cina devisit neraca perdagangan dipengatuhi ekonomi dunia judilnya gara jokowi dasar kampret|-0.005691616658950983
436|negatif| pernyataan ambil gaji beritakan|0.015245966807918579
438|negatif| ngajarin ekonomi mikro makro pengusaha top kaya prabowo sandi ngajarin ikan berenang jago|0.012008072664907417
441|negatif| suka bilang sebentar ekonomi meroket capres|0.007213734935018775
447|negatif| ngakunya ngakunya prabowo perhatian rakyat hoax karyawannya pt kiani kertas nusantara terkatungkatung gaji thr selesaikan masalahmu bowok menyelesaian rakyat|0.009979671660016022
449|negatif| amin pelajaran berharga fitnah kejam sepwrti mudah rezim acak ulama umat islam pelakunya pelakunya wereng coklat dipaksa jagal talangsari|-0.010821919549954876
450|positif| trans sumatra menunjang pertumbuhan ekonomi sumatera membantu pemerataan sosial sumatera logistik bahan bakar keperluan mudah dikirimkan jalur memadai jokowi mewujudkan kemajuan pulau sumatera trans sumatra|0.004372615202783573
453|netral| debat capres prabowo ekonomi ri salah arah|-0.025409234435272116
454|positif| jokowi udahdeh pelawak peratiin kayaknya cocok ngurusin negara gaji pelawak gede gaji presiden looo|0.021223427799052418
457|positif| hahahaha negara memiliki skala prioritas bernilai keekonomian makro nano piko tergantung impor bahan baku pangan elektronik dikejar pertumbujan ekonomi stagnan|-2.3243529535857574e-05
460|positif| debat allah pamungkas bangett prabowo sandi bilang teilih presiden wakil presiden menyumbangkan gajinya rakyat masya allah mulia banget prabowo sandi|0.004430956740754086
462|negatif| prabowo terima gaji exit plan gaji karyawan pt kiani kertas menerima gaji perhatian rakyat karyawannya digaji munafikun|0.0017066181548599708
463|positif| butuh jl tol butuhkan hasil pertanian harga jual ditingkatkan|0.012207183285872959
464|netral| consol games hardware esport pemanfaatannya dampak keekonomiannya masif bangga banget esport dampaknya esports|-0.010416666666666666
466|negatif| ekonominya target idola bicara digit gimana terbukti bilang|0.023069604665052566
473|netral| mkin maksud kiani kertas bayar gaji buruhz kali kiani kertas produksi kertas produksi utang karyawabx|0.0055347056032764245
474|positif| capres kaleng hoax harga melambung faktanya harga stabil inflasi normal grafik menurun mengelola oce gagal ngomongin ekonomi makro libas ma sikaleng bilang|-0.009921707370529734
478|netral| kader terima disisi prabowo bilang ekonomi indo rusak presiden bilang ciri koalisi berkelas kayaknya lg menghibur|-0.01419121402568636
479|netral| dibangun jalan negara jalan tol disadari indonesia kalah malaysia pembangunan besaran dilanjutkan melebihi malaysia potensi indonesia berhasil raksasa ekonomi dunia|0.008166002016366488
482|positif| maju sumatra semoga jalan tol pertumbuhan ekonomi banyakkkkk aamiinn|0.02668423016834488
484|positif| bentar narasi pembangunan tol lari bahas ekonomi temennya belajar konsisten tema singgung wkwkwkwk|-0.010037368040712645
485|netral| tol melanjutkan prestasi ekonomi gimana rupiah devisa inflasi proyek platform bandara kertajati sepi uang dibakar|0.00021030791651543274
494|negatif| yaa mata dianggap berharga ayoo tempeleng donkk|0.003061212943459466
497|netral| kalinya indonesia era kepemimpinan jokowi harga bbm merata indonesia|0.0037277673366622236
499|positif| mencoblos probowo sandi beramal gaji prabowo sandi sumbangkan fakir miskin kaum duafa|0.004860967695750301
500|positif| kebijakan jokowi bbm harga bentuk nyata keadilan sosial rakyat indonesia|0.05511733208825557
503|netral| komitmen prabowosandi ambil gaji serupiah teilih|0.008080214542052358
505|positif| mencoba menarik simpati korban hacker kasihani didukung menduking hasil kerja nyata terbukti janji murah murah ambil gaji jaman orba|0.0033172784640161795
506|netral| garagara ketimpangan ekonomi prabowo salahkan presiden jokowi|-0.030687556712825973
513|netral| ahli ekonomi klrg cc|0.025716800804828972
515|netral| ekonomi prabowo salah jalan|-0.04043719665183052
522|positif| dicontohkan ustadz abdul shomad diundang istana jabatan apapun jk prabowosandi mjd presiden prabowosandi mengambil gaji muncul orang ikhlas berjuang indonesia adil makmur|-0.02240774196830987
523|netral| uang membangun sekolah membangun rumah sakit meningkatkan kesejahteraaan rakyat program ekonomi produktif perlindungan sosial membangun infrastruktur jokowi|0.01939372423272376
525|negatif| butuh gaji disawer diterima gaji meningkatkan kinerja tanggung|0.02766988094506816
528|positif| simpati paslon ps bcr pjg jk ketemu jujur sgt khawatirkan jk beliau melanjutkan sistem ekonomi kolonial mengeksploitasi rakyat kekayaan bangsa anak cucu paham ekonomi berkeadilannya pancasila|0.01106207314457099
536|positif| asn zaman soeharto jiwanya uang urusan lancar perekrutan asn salah dibenahi jokowi menaikkan gaji mengangkat honorer jnji prabowo ektp mbak cepat|-0.0024740310773005564
538|negatif| jessnolimit negarawan urusannya game kesejahteraan rakyat tema ekonomi berdasarkan ekonomi negara mengurus kepentingan kepentingan pokok masyarakat games|0.0011833779320431928
549|negatif| aneh membingungkan letjen pecatan seumur militer menteri berkali ekonomi salah arah pertanyaannya salah arahnya dimana solusinya ngawur|-0.011973747114199821
552|negatif| tampangnya pengangguran mental ogah dungu kaya gampang bodohin dijanjiin hidup senang prabowo menang harga mati emang wowo menang hidupnya enak ngimpi|-0.002395126605717201
556|negatif| kelakuan jongosnya menebar kebencian mayoritas rakyat dmn ganti presiden harga mati curang silahkan gulingkan|-0.028577516499470053
558|netral| rizal ramli ekonomi indonesia tumbuh persen prabowo teilih|0.0019430536708623834
559|positif| insyaallah paham maksud menimbang ulang nkri orang dilabeli harga mati sejatinya diperkosa berkali kali output harga mati dikebirinya landasan fundamental negara|0.04532313219238069
564|positif| mengambil gajinya|0.004022277227722772
569|netral| barisan sakit hati jokowi merapat prabowo pengamat tampik pertumbuhan ekonomi ri stagnan|-0.020023843731811996
571|positif| nikmati prosesnya mahal murah wajar inflasi terjaga harga sembako turun bermain medsos beli paket data mahal murah kebeli|0.04026824409405717
573|negatif| manusia kuper ngerti mobile legend ngomong gituan tol langit sangka jalan yol langit akum sampah ngomong paham atinya main goa trus gaji buzer mna ngerti bahasa|0.020655035844145377
575|positif| luarbiasa pembangunan infrastruktur era semoga infrastruktur dibangun menunjang pertumbuhan ekonomi pemerataan sosial republik indonesia semangat|0.013563953390941482
577|netral| jaman sby harga pupuk murah jaman pupuk mahal langka pk|0.02935391731790758
578|negatif| nonton debat smalm prabowo turuknya ekonomi indonesia slh presiden sblm|0.009965422971138744
581|netral| prabowo fokus swasembada pangan harga sembako murah menciptakan lapangan kerja target market disasar cenderung kaum emakemak sulit kerja keyword kekayaan negara kebocoran negara|0.023139618817259292
583|positif| memilih prabowo sandi beramal gaji disumbangkan kaum dhuafa anak yatim aamiin|0.042549081912138714
591|positif| presiden menerima gaji prabowo sandi dilimpahkan yatim piatu dhuafa subhanallah|0.004003764463812425
593|positif| logistik lancar arus barang lancar aman preman jalan bagus bikin kendaraan awet harga murah penduduk sumatra menang|0.010496591860397461
595|positif| terlaksana prabowo kebesaran hatinya sys ngaji satunya barangkali mengiyakan sandiwara hiks hiks hiks|8.11688311688304e-05
599|positif| mantap semoga roda ekonomi papua berjalan efektif efisien terimakasih|0.06449082992819467
601|positif| ketuaku harga partai kinerja jokowi dinikmati hasilnya kemaslahatan ummat garis perjuangan ketua beihak masyarakat lemah jokowi membantu masyarakat desa|0.0005829991800237595
602|negatif| sedih mudahan periode pemerintahan jokowi harga kampret minimal ribu|-0.028346204516502122
605|positif| mamfaat diperoleh pelaksanaan asian games sebatas bidang pembinaan olahraga nasional sisi pembangunan infrastruktur pariwisata perekonomian luas indonesia maju jokowi hebat|0.006424197210146028
611|netral| kelangsungan peningkatan perekonomian kesehatan pendidikan kesejahteraan sosial indonesia jokowi menerapkan ideide dngan harapan faktor indonesia meningkat seiring berjalannya dimasa pmerintahannya|0.011789224127311121
612|positif| sandi bahas salah poin buktikan jokowi bagus emang prabowo tau ekonomi makro ekonomi skala nasional|0.02210730073027813
614|netral| prabowo salah arahnya pembangunan ekonomi indonesia terlepas andil presiden jokowi|0.007071282606328118
615|netral| khusus presiden jokowi pembangunan manusia tantangan global menuntut penguatan sumber daya manusia sdm penopang perekonomian|-0.002136134499207662
616|netral| bukti pemerataan pembangunan diharapkan koneksi warga papua efisien titik ekonomi tercipta|0.067263943850252
618|netral| gimana gaji|0.0266798418972332
619|positif| assalammu aalaikum wr wb maaf prabowo sandi guru honor perhatikan guru honor honorer sekolah swasta fikiran hidup layak gaji seenak yayasan umr|0.01721534342614449
