id|sentimen|attribute_new|clean_tweet
249|netral|ekonomi| prabowo berbuat rakyat gaji karyawannya dibayar heheheheee
250|negatif|ekonomi| akui kekurangan akui prabowo kristen mualaf ibunya kristen hashim kristen sholat wudhu gerakan salah ngaji dipecat tni elit bajingan
256|netral|ekonomi| om prabs membangkitkan ekonomi lepas hutang dunia lepas cengkraman elite global kuncinya pakai uang kertas pakai emas perak alat tukar resiko melawan dunia hadapi bangsa
257|negatif|ekonomi| gaji karyawan terkatungkatung kabar
259|netral|ekonomi| presiden jokowi raja salman tingkatkan kerja ekonomi
268|negatif|ekonomi| rakyat pekerjaan pekerjanya diimpor china rakyat panen padi berasnya impor rakyat sembako murah suruh tanam petani karet kenaikan harga suruh tanam jengkol jokowi mmg tau kemauan rakyat rabb semoga otakku sehat
271|positif|ekonomi| kepemimpinan presiden jokowi indonesia maju perekonomian dunia menentu
277|netral|ekonomi| video sudut pandang berbeda video membahas real energi sosial lingkungan ekonomi politik budaya batubara
280|netral|ekonomi| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi
281|negatif|ekonomi| media asing tunjukkan beranganangan lantas menabur fitnah jijik kebohongan kesombongan kau dibanding kau apaapanya samasama makan gaji pembayar pajak kau tidurnya
282|netral|ekonomi| dpt harga rb toko abang
291|netral|ekonomi| prabowosandi tegaskan ambil gaji teilih
292|netral|ekonomi| teilih prabowosandiaga janji ambil gaji
294|netral|ekonomi| penutup debat pamungkas prabowosandi mandat seperseun gaji ambil
295|negatif|ekonomi| utang prabowo bwjibun utng ln utang pribadinya puluhan triltun gaji diambil busyeettt jngn utang bebas dibayar jemarin dipailitkan biar bayar pemerintah mk bwrambiai mengumbar janji
299|positif|ekonomi| janjinya ngehapusin pajak bikin hutang negara nambah mbak pajak negara
301|positif|ekonomi| ijin aspirasi teman desanya penghasilan utama berasal lada merica semenjak rezim berkuasa harga lada murah berharap prabowo sandi berkuasa mengstabilkan harga
302|negatif|ekonomi| janji ekonomi meroket nyungsep link dibawah ingatkan janji akui gagal penuhi janji cc twit
303|negatif|ekonomi| maksudnya emangnya ngitung pertumbuhan ekonomi
304|netral|ekonomi| pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat hyperlink
309|netral|ekonomi| tax ratio xx tax amnesty pengusaha pelaku ekonomi berat teriak xx dijalankan pemerintah jokowi dibidang pajak efektif terbukti tembus target penerimaan pajak
310|negatif|ekonomi| ngapain holdang holding pake istilah world class duitnya parkir negeri pengaruh ekonomi ekonomi nasional
311|netral|ekonomi| id ri usut gaji rakyat
317|positif|ekonomi| sehat pangkalan harga tentukan fkir bodoh semenjak jokowi subsidi gas kurangi alih dana pkh bolak pinter mbolak subsidi
318|positif|ekonomi| apapun harga mati apapun jokowi amin nkri
322|positif|ekonomi| ngemplang pajak korupsi maen proyek mafia impor keknya meriang takut prabowo menang
326|negatif|ekonomi| memilukan kemiskinanlah pendukung jokowi bilang ekonomi meningkat temui acara jokowi
329|positif|ekonomi| memiliki pemikiran cemerlang kemajuan ekonomi indonesia konsep ekonomi keumatan ma ruf amin cocok mendampingi jokowi maju pilpres
336|positif|ekonomi| tertarik programnya jokowi trans sumatera ekonomi sumatera berkembang
338|positif|ekonomi| nasionalisme beliau didunia internasional pemilu beliau berkunjung solusi kerja perkembangan ekonomi indonesia mantab jokowidodo lanjutkan
342|netral|ekonomi| gas normal kg bbm aman setara harga indonesia keadilan sosial rakyat indonesia sembako normal jualan makanan belanja pasar belanja bilang mahal dumeh
344|positif|ekonomi| want test ur vice president sir solusi indonesia harga bhn pokok terjangkau lapangan kerja tersedia kesejahteraan guru lbh tenaga medis pasien perbaiki
345|netral|ekonomi| presiden jokowi raja salman sepakat tingkatkan kerjasama ekonomi rri
347|positif|ekonomi| alhamdulillah membangun ekonomi pemerataan adil mengalami batu aral korban kerjakan lakukan percaya anak cucu merasakannya
348|positif|ekonomi| unggul menang telak ekonomi jagonya
350|netral|ekonomi| teilih prabowosandi sumbangkan gajinya anak yatim dhuafa
360|netral|ekonomi| jokowisalman sepakati peningkatan kerjasama ekonomi
361|netral|ekonomi| menang pilpres prabowosandi komitmen ambil gaji walapun serupiah
362|positif|ekonomi| wajib jokowi periode harga mati
365|negatif|ekonomi| bukti harga barang turun tol
366|netral|ekonomi| jokowi salman sepakati peningkatan kerja ekonomi news jawa barat
367|positif|ekonomi| nnti presidennya tolong program pertamanya harga tiket pesawat puasa lebaran diturunin kmren kasian anak rantau rindu rumah puasa lebaran dirumah kangen masakan emak cc
369|netral|ekonomi| teilih prabowosandi sumbangkan gajinya anak yatim dhuafa
372|netral|ekonomi| teilih prabowo janji turunkan harga listrik okezone news
377|positif|ekonomi| debat pamungkas jokowi visi misinya kedepan jawani debat m amin surise elemen prabowo mengusung program pelitanya orba sandi uno excellent closing kena smash jokowi ekonomi makro nice debat
382|netral|ekonomi| analis politik ekonomi jokowi kritik kebijakannya
393|negatif|ekonomi| jl tol kalangan menengah keatas menegah kebwh jgnkan lwt tol motor warung pinggir jln tol tutup sbagian pembelinya tol mkn belanja rest area mempercepat pertumbuhan ekonomi
397|positif|ekonomi| ragukah pas prabowosandi tegaskan ambil gaji teilih rmol pasangan calon presiden calon wakil presiden
400|positif|ekonomi| pembangunan infrastruktur dibangun masiv meningkatkan perekonomian bangsa terima kasih jokowi
402|netral|ekonomi| bandara kertajati selesai ditangan jokowi menggerakan ekonomi rakyat
403|positif|ekonomi| negara china sebentar negara adikuasa ekonomi obyek kemajuan ekonomi contoh kiatkiat strategi tempuh
407|negatif|ekonomi| memprioritaskan perekonomian agraris pemerintah menghambat skala prioritas bolak ngomong susah bener pahamnga
411|positif|ekonomi| era jokowi kemjuan teknologi dimanfaatkan pengembangan ekonomi kreatif
413|positif|ekonomi| pilihan ttp menghargai berbeda bimillaahirraohmaanirrohim mengikuti hati nurani ttp jokowi hati jokowi
417|negatif|ekonomi| gagal ngapain stagnan pas debat bahas mobile legend ekonomi indonesia
419|netral|ekonomi| langkah pemerintahan presiden jokowi pemberdayaan ekonomi keumatan bank wakaf mikro ketum arus muslimah munifah syanwani
423|negatif|ekonomi| prabowo teilih ekonomi infrastruktur dibangun besaran jokowi jadii tinggal duduk manis
424|positif|ekonomi| mencoblos bersodaqoh gaji beliau diinfaqkan duafa anak yatim insya allah
426|positif|ekonomi| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
428|netral|ekonomi| disaksikan sandiwara penghargaan tokoh pemerataan pembangunan
429|negatif|ekonomi| bahas ekonomi infrastuktur boring nich
434|negatif|ekonomi| anti china menggandeng cina devisit neraca perdagangan dipengatuhi ekonomi dunia judilnya gara jokowi dasar kampret
436|negatif|ekonomi| pernyataan ambil gaji beritakan
438|negatif|ekonomi| ngajarin ekonomi mikro makro pengusaha top kaya prabowo sandi ngajarin ikan berenang jago
441|negatif|ekonomi| suka bilang sebentar ekonomi meroket capres
447|negatif|ekonomi| ngakunya ngakunya prabowo perhatian rakyat hoax karyawannya pt kiani kertas nusantara terkatungkatung gaji thr selesaikan masalahmu bowok menyelesaian rakyat
449|negatif|ekonomi| amin pelajaran berharga fitnah kejam sepwrti mudah rezim acak ulama umat islam pelakunya pelakunya wereng coklat dipaksa jagal talangsari
450|positif|ekonomi| trans sumatra menunjang pertumbuhan ekonomi sumatera membantu pemerataan sosial sumatera logistik bahan bakar keperluan mudah dikirimkan jalur memadai jokowi mewujudkan kemajuan pulau sumatera trans sumatra
453|netral|ekonomi| debat capres prabowo ekonomi ri salah arah
454|positif|ekonomi| jokowi udahdeh pelawak peratiin kayaknya cocok ngurusin negara gaji pelawak gede gaji presiden looo
457|positif|ekonomi| hahahaha negara memiliki skala prioritas bernilai keekonomian makro nano piko tergantung impor bahan baku pangan elektronik dikejar pertumbujan ekonomi stagnan
460|positif|ekonomi| debat allah pamungkas bangett prabowo sandi bilang teilih presiden wakil presiden menyumbangkan gajinya rakyat masya allah mulia banget prabowo sandi
462|negatif|ekonomi| prabowo terima gaji exit plan gaji karyawan pt kiani kertas menerima gaji perhatian rakyat karyawannya digaji munafikun
463|positif|ekonomi| butuh jl tol butuhkan hasil pertanian harga jual ditingkatkan
464|netral|ekonomi| consol games hardware esport pemanfaatannya dampak keekonomiannya masif bangga banget esport dampaknya esports
466|negatif|ekonomi| ekonominya target idola bicara digit gimana terbukti bilang
473|netral|ekonomi| mkin maksud kiani kertas bayar gaji buruhz kali kiani kertas produksi kertas produksi utang karyawabx
474|positif|ekonomi| capres kaleng hoax harga melambung faktanya harga stabil inflasi normal grafik menurun mengelola oce gagal ngomongin ekonomi makro libas ma sikaleng bilang
478|netral|ekonomi| kader terima disisi prabowo bilang ekonomi indo rusak presiden bilang ciri koalisi berkelas kayaknya lg menghibur
479|netral|ekonomi| dibangun jalan negara jalan tol disadari indonesia kalah malaysia pembangunan besaran dilanjutkan melebihi malaysia potensi indonesia berhasil raksasa ekonomi dunia
482|positif|ekonomi| maju sumatra semoga jalan tol pertumbuhan ekonomi banyakkkkk aamiinn
484|positif|ekonomi| bentar narasi pembangunan tol lari bahas ekonomi temennya belajar konsisten tema singgung wkwkwkwk
485|netral|ekonomi| tol melanjutkan prestasi ekonomi gimana rupiah devisa inflasi proyek platform bandara kertajati sepi uang dibakar
494|negatif|ekonomi| yaa mata dianggap berharga ayoo tempeleng donkk
497|netral|ekonomi| kalinya indonesia era kepemimpinan jokowi harga bbm merata indonesia
499|positif|ekonomi| mencoblos probowo sandi beramal gaji prabowo sandi sumbangkan fakir miskin kaum duafa
500|positif|ekonomi| kebijakan jokowi bbm harga bentuk nyata keadilan sosial rakyat indonesia
503|netral|ekonomi| komitmen prabowosandi ambil gaji serupiah teilih
505|positif|ekonomi| mencoba menarik simpati korban hacker kasihani didukung menduking hasil kerja nyata terbukti janji murah murah ambil gaji jaman orba
506|netral|ekonomi| garagara ketimpangan ekonomi prabowo salahkan presiden jokowi
513|netral|ekonomi| ahli ekonomi klrg cc
515|netral|ekonomi| ekonomi prabowo salah jalan
522|positif|ekonomi| dicontohkan ustadz abdul shomad diundang istana jabatan apapun jk prabowosandi mjd presiden prabowosandi mengambil gaji muncul orang ikhlas berjuang indonesia adil makmur
523|netral|ekonomi| uang membangun sekolah membangun rumah sakit meningkatkan kesejahteraaan rakyat program ekonomi produktif perlindungan sosial membangun infrastruktur jokowi
525|negatif|ekonomi| butuh gaji disawer diterima gaji meningkatkan kinerja tanggung
528|positif|ekonomi| simpati paslon ps bcr pjg jk ketemu jujur sgt khawatirkan jk beliau melanjutkan sistem ekonomi kolonial mengeksploitasi rakyat kekayaan bangsa anak cucu paham ekonomi berkeadilannya pancasila
536|positif|ekonomi| asn zaman soeharto jiwanya uang urusan lancar perekrutan asn salah dibenahi jokowi menaikkan gaji mengangkat honorer jnji prabowo ektp mbak cepat
538|negatif|ekonomi| jessnolimit negarawan urusannya game kesejahteraan rakyat tema ekonomi berdasarkan ekonomi negara mengurus kepentingan kepentingan pokok masyarakat games
549|negatif|ekonomi| aneh membingungkan letjen pecatan seumur militer menteri berkali ekonomi salah arah pertanyaannya salah arahnya dimana solusinya ngawur
552|negatif|ekonomi| tampangnya pengangguran mental ogah dungu kaya gampang bodohin dijanjiin hidup senang prabowo menang harga mati emang wowo menang hidupnya enak ngimpi
556|negatif|ekonomi| kelakuan jongosnya menebar kebencian mayoritas rakyat dmn ganti presiden harga mati curang silahkan gulingkan
558|netral|ekonomi| rizal ramli ekonomi indonesia tumbuh persen prabowo teilih
559|positif|ekonomi| insyaallah paham maksud menimbang ulang nkri orang dilabeli harga mati sejatinya diperkosa berkali kali output harga mati dikebirinya landasan fundamental negara
564|positif|ekonomi| mengambil gajinya
569|netral|ekonomi| barisan sakit hati jokowi merapat prabowo pengamat tampik pertumbuhan ekonomi ri stagnan
571|positif|ekonomi| nikmati prosesnya mahal murah wajar inflasi terjaga harga sembako turun bermain medsos beli paket data mahal murah kebeli
573|negatif|ekonomi| manusia kuper ngerti mobile legend ngomong gituan tol langit sangka jalan yol langit akum sampah ngomong paham atinya main goa trus gaji buzer mna ngerti bahasa
575|positif|ekonomi| luarbiasa pembangunan infrastruktur era semoga infrastruktur dibangun menunjang pertumbuhan ekonomi pemerataan sosial republik indonesia semangat
577|netral|ekonomi| jaman sby harga pupuk murah jaman pupuk mahal langka pk
578|negatif|ekonomi| nonton debat smalm prabowo turuknya ekonomi indonesia slh presiden sblm
581|netral|ekonomi| prabowo fokus swasembada pangan harga sembako murah menciptakan lapangan kerja target market disasar cenderung kaum emakemak sulit kerja keyword kekayaan negara kebocoran negara
583|positif|ekonomi| memilih prabowo sandi beramal gaji disumbangkan kaum dhuafa anak yatim aamiin
591|positif|ekonomi| presiden menerima gaji prabowo sandi dilimpahkan yatim piatu dhuafa subhanallah
593|positif|ekonomi| logistik lancar arus barang lancar aman preman jalan bagus bikin kendaraan awet harga murah penduduk sumatra menang
595|positif|ekonomi| terlaksana prabowo kebesaran hatinya sys ngaji satunya barangkali mengiyakan sandiwara hiks hiks hiks
599|positif|ekonomi| mantap semoga roda ekonomi papua berjalan efektif efisien terimakasih
601|positif|ekonomi| ketuaku harga partai kinerja jokowi dinikmati hasilnya kemaslahatan ummat garis perjuangan ketua beihak masyarakat lemah jokowi membantu masyarakat desa
602|negatif|ekonomi| sedih mudahan periode pemerintahan jokowi harga kampret minimal ribu
605|positif|ekonomi| mamfaat diperoleh pelaksanaan asian games sebatas bidang pembinaan olahraga nasional sisi pembangunan infrastruktur pariwisata perekonomian luas indonesia maju jokowi hebat
611|netral|ekonomi| kelangsungan peningkatan perekonomian kesehatan pendidikan kesejahteraan sosial indonesia jokowi menerapkan ideide dngan harapan faktor indonesia meningkat seiring berjalannya dimasa pmerintahannya
612|positif|ekonomi| sandi bahas salah poin buktikan jokowi bagus emang prabowo tau ekonomi makro ekonomi skala nasional
614|netral|ekonomi| prabowo salah arahnya pembangunan ekonomi indonesia terlepas andil presiden jokowi
615|netral|ekonomi| khusus presiden jokowi pembangunan manusia tantangan global menuntut penguatan sumber daya manusia sdm penopang perekonomian
616|netral|ekonomi| bukti pemerataan pembangunan diharapkan koneksi warga papua efisien titik ekonomi tercipta
618|netral|ekonomi| gimana gaji
619|positif|ekonomi| assalammu aalaikum wr wb maaf prabowo sandi guru honor perhatikan guru honor honorer sekolah swasta fikiran hidup layak gaji seenak yayasan umr
620|positif|ekonomi| yaa allah berbagi hati memilih prabowo sandi sbg presiden dimana beliau gajinya anak yatim kaum dhuafa yaa allah berilah amanah beliau berdua
625|netral|ekonomi| harga bbm papua senilai liter sungguh drastik era jokowi menekan harga premium seharga liter setara harga bbm seantero nusantara
626|positif|ekonomi| takdelah ma aruf amin calon naib presiden jokowi pemimpin majelis ulama indonesia pilih prabowo jokowi ekonomi presiden
633|negatif|ekonomi| ning tengaran mengeluhkan harga kacang slalu terjepit harga susu kian menonjol harga kolor turun
637|positif|ekonomi| berotak memikirkan mobile legend sisi orang cerdas memikirkan ekonomi kerakyatan
643|negatif|ekonomi| kerjanya jokowi bbm listrik bpjs defisit hutang membengkak harga sawit anjlok harga karet anjolk petani garam menjerit susah ganti presiden
648|positif|ekonomi| memilih entar kekayaan alam nusantara emas migas tanah uang kas negara habis masuk bank negeri rencana terima gaji presiden kelas kakap ikan teri bawahan
651|negatif|ekonomi| pemimpin terbaik ekonominya sesuai goal
653|netral|ekonomi| coba ngmng gini jaman lulung m topik btw fungsi dprd mitra bidang legislatif pengawas gubernur menjalankan anggaran sbg pembayar pajak lbh seneng anggota dprd garang
654|positif|ekonomi| presiden menghargai istrinya marufamin
655|positif|ekonomi| semoga jokowers membaca hidayah allah swt teilih prabowosandiaga janji ambil gaji
658|netral|ekonomi| beli lalapan abang lalapan presiden jokowi lalapannya presidennya prabowo harganya dalem hati frontal gini gapapa orang berhak pesta demokrasi negeri pengamat
