id|sentimen|clean_tweet
228|negatif| gagal priode debat fokus ekonomi bahas games mobile legend berfaedah yai harta kekayaan prabowo urusan dngan negara fokus kebangsaan lengser
231|netral| gelar pertemuan bilateral presiden jokowi raja salman sepakat kerja ekonomi ditingkatkan bidang energi pariwisata
232|negatif| njop ngeyel harga ditinggiin salah
234|negatif| sandi lulusan amerika ipk khatam banget makro mikro kalah sarjana kehutanan jokowi jurusan ekonomi kehutanan
235|netral| prabowo memiliki jiwa sportif kesalahan kebijakan ekonomi indonesia puluhan sblm jokowi berkuasa sayang partai koalisinya suka bhk emosi kejujuran prabowo mengungkap fakta aneh
236|negatif| salah arahnya pembangunan ekonomi indonesia terlepas andil menyalahkan kesalahan kesalahan presidenpresiden
238|negatif| harga tiket pesawat diturunkan brharap aspek trlbh dngan mahal harga tiket pswt terbang mahal tarif biaya expdisi kota melonjak
239|negatif| parah malaysia mba bayangkan jt beetumpu tps warga negara blh kritik blh marah liat pelaksana swperti gaji olh uang negara
242|netral| dd mikirin mending mikirin mendasar ekonomi ketagihan game online bikin malas sgl suruh wirid masjid nongkrong warnet bergayalah sesuai isi kantong
245|negatif| die zaman jokowi ekonomi anjlok gadget bayar wifi bilang anjlok n serba mahal
246|netral| janji ambil gaji teilih prabowosandi ikuti jejak presiden terkenal
247|netral| pngetahuan tata kelola ekonomi negara kelasnya
249|netral| prabowo berbuat rakyat gaji karyawannya dibayar heheheheee
250|negatif| akui kekurangan akui prabowo kristen mualaf ibunya kristen hashim kristen sholat wudhu gerakan salah ngaji dipecat tni elit bajingan
252|netral| prabowo sandi berniat ambil gaji menjabat gayanya donald trump gakmau digaji tajir
254|netral| perintah bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter
255|netral| cc kekurangan danakah tau plisss dibiarkan pendukung jokowiamin peduli hargai suara
256|netral| om prabs membangkitkan ekonomi lepas hutang dunia lepas cengkraman elite global kuncinya pakai uang kertas pakai emas perak alat tukar resiko melawan dunia hadapi bangsa
257|negatif| gaji karyawan terkatungkatung kabar
258|negatif| jokowi merakyat dibilang pencitraan jokowi dibilang akting jokowi sholat dicela prabowo sholat ngaji wudhu salah melek ajesih udeh ketaker otak astaga
259|netral| presiden jokowi raja salman tingkatkan kerja ekonomi
262|negatif| sampah id gajih mnang dngn
265|negatif| saiki pns podo turu lemes soale kerjoe bener diawasi mangkane nangis dukung prabowo ben iso turu gaji gede fakkk pahlawan jasa
266|positif| mengembangkan ekonomi syariah sesuai diamanatkan ma ruf amin aliansi kampung madura akma menangkan jokowi
267|netral| ekonomi pakai kg
268|negatif| rakyat pekerjaan pekerjanya diimpor china rakyat panen padi berasnya impor rakyat sembako murah suruh tanam petani karet kenaikan harga suruh tanam jengkol jokowi mmg tau kemauan rakyat rabb semoga otakku sehat
270|netral| janji ambil gaji prabowosandi persis donald trump
271|positif| kepemimpinan presiden jokowi indonesia maju perekonomian dunia menentu
274|netral| berita berita didesaku pemilik sawah cocok harga sawah dilewatin bangun jlnnya termsk sawah kakakku titik temu disambung jln tolnya sdhlah allah bicara jujur hubnya capres
276|netral| maaf pake subsidi pake ygkg harga tertera nomor reg wajib tempel dinding toko biar masyarakat tau mangkanya abg knp harganya brubah ubah pk jokowi subsidinya alihkan
277|netral| video sudut pandang berbeda video membahas real energi sosial lingkungan ekonomi politik budaya batubara
278|negatif| bego kampret yankayak gini presidem jokowi sby kampret otak maundi reparasi tetep goublok bbm ngikutin harga pasar naek naek turun turun bbm subsidi naek kampret ilmu cetek belagu
279|positif| berdoa hati mjd presiden ri ekonomi buruk ponsel tutup ekonomi masyarakat carut marut presiden tolong perbaiki ekonomi masyarakat wslm dihati
280|netral| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi
281|negatif| media asing tunjukkan beranganangan lantas menabur fitnah jijik kebohongan kesombongan kau dibanding kau apaapanya samasama makan gaji pembayar pajak kau tidurnya
282|netral| dpt harga rb toko abang
283|negatif| kualitas obama wowo kayak langit comberan obama bermasalah karier wowo pecat trus gaji karyawan dibayar wowo lurah pinter jokowi pejabat beengalaman presiden bangun pret
284|netral| harga rb konsumen pemakai pribadi pedagang jatuhnya rb tabung
286|netral| sodaqohkan gaji
287|netral| pengalaman ekonomi malang merintang mendirikan koperasi baitul mal wa tamwil bmt sejenis koperasi syariah
288|netral| charles honoris jokowi bangun indonesia ekonomi kreatif
289|netral| presiden raja salman menggelar pertemuan bilateral istana pribadi raja alqasr alkhas minggu sore pertemuan selepas jamuan santap siang sepakat meningkatkan kerja bidang ekonomi foto berita bpmi
290|netral| fokus unicorn dunia digital contoh ecomerce memamg harga murah memutus mata rantai distribusi sehinga distributor menjual langsung barg masarakat dpt kebagaian keutungan sbgai pengecer
291|netral| prabowosandi tegaskan ambil gaji teilih
292|netral| teilih prabowosandiaga janji ambil gaji
293|positif| listrik turun harga terjangkau pelayanan bpjs honorer tusuk prabowo sandi tps
294|netral| penutup debat pamungkas prabowosandi mandat seperseun gaji ambil
295|negatif| utang prabowo bwjibun utng ln utang pribadinya puluhan triltun gaji diambil busyeettt jngn utang bebas dibayar jemarin dipailitkan biar bayar pemerintah mk bwrambiai mengumbar janji
296|negatif| berharap prabowo memahami menghargai koalisi surat kesepakatan menjadikan cawapres diingkari rakyat kawan politik kepentingan
297|negatif| pakai uang pajak atw uang pribadi anak bini diajak
298|netral| samping toko pangkalan gas agen kmpung kuota batasin harga tertera nomor registrasi pangkalanya tbg agen sa mainkn harga penjual lg kuota trbatas
299|positif| janjinya ngehapusin pajak bikin hutang negara nambah mbak pajak negara
300|netral| jokowi raja salman sepakati kerja bidang ekonomi
301|positif| ijin aspirasi teman desanya penghasilan utama berasal lada merica semenjak rezim berkuasa harga lada murah berharap prabowo sandi berkuasa mengstabilkan harga
302|negatif| janji ekonomi meroket nyungsep link dibawah ingatkan janji akui gagal penuhi janji cc twit
303|negatif| maksudnya emangnya ngitung pertumbuhan ekonomi
304|netral| pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat hyperlink
305|netral| kekompakan persatuan menghargai menghormati melengkapi bangsa beikir maju kedepan
306|negatif| lahh games beli mobil mewah beli rumah pendapatan dapet penghargaan kasih makan orng rumah lw bilang berbobot lw hidup jaman soeharto orbaaaa hiduppp cendana
307|netral| tnya sehat harga gas lpg e harga rb beli pangkalan agen spbu menyediakan lpg antri mlh desa makane pgn duitnya kerja keras
309|netral| tax ratio xx tax amnesty pengusaha pelaku ekonomi berat teriak xx dijalankan pemerintah jokowi dibidang pajak efektif terbukti tembus target penerimaan pajak
310|negatif| ngapain holdang holding pake istilah world class duitnya parkir negeri pengaruh ekonomi ekonomi nasional
311|netral| id ri usut gaji rakyat
312|netral| kondisi bumn goyah prabowo subianto badan usaha milik negara bumn benteng perekonomian nasional goyah dikutip
316|negatif| dipikirnya pengembangan esport main aplikasi smartphone mulainya main aplikasi manfaatnya pengangguran digaji baca buka wawasan mpermalukan gen z
317|positif| sehat pangkalan harga tentukan fkir bodoh semenjak jokowi subsidi gas kurangi alih dana pkh bolak pinter mbolak subsidi
318|positif| apapun harga mati apapun jokowi amin nkri
319|netral| prabowo sandi jokowi semenjak walikota gaji beliau kasihkan warga solo membutuhkan
320|positif| prabowosandi pasangan harmonis mengerti posisinya masingmasing pencintraan kepurapuraan menghargai beda pasangan goal getter boneka
321|negatif| katrok tekhnologi digital meraih pendapatan ekonomi diperhatikan prabowo orang kuno taunya elus elus ekor kuda
322|positif| ngemplang pajak korupsi maen proyek mafia impor keknya meriang takut prabowo menang
323|positif| semoga amanah ikhlas ekonomi pro rakyat peduli petani nelayan buruh pedagang masyarakat adil makmur sejahtera aman insyaallah prabowo subianto sandi aga memenangkan pilpres april amin
325|netral| rb bl agen langsung dapet rb gas rb agen konsumen orang jualan cr untung namane peutaran roda ekonomi
326|negatif| memilukan kemiskinanlah pendukung jokowi bilang ekonomi meningkat temui acara jokowi
327|positif| permintaan tolong hapus denda telat bayar listrik air tlp pajak bpjs kebutuhan inti rakyat denda jujur wlwpun nilainya berat
329|positif| memiliki pemikiran cemerlang kemajuan ekonomi indonesia konsep ekonomi keumatan ma ruf amin cocok mendampingi jokowi maju pilpres
330|positif| state menaikan gaji tunjangan prabowo berjanji menaikan
331|positif| april marilah subuh berjamaah gaungkan shalawat doa semoga teilih presiden ri semoga beliau amanah rakyat mengembalikan kedaulatan indonesia ekonomi semoga adil makmur
332|positif| ps bilang didebat ekonomi indonesia salah salah pemimpin penggemar salahkan jokowi bosmu bilang salah jokowi mantap pilih
333|negatif| yuuk amal hadiahnya mencoblos prabowosandi presidenwapres digaji gila
334|positif| prabowo sandi ambil gaji teilih gajinya diserahkan fakir miskin dhuafa berjanji membersamai orang tua berjuang
335|netral| jokowi raja salman sepakat tingkatkan kerja ekonomi via
336|positif| tertarik programnya jokowi trans sumatera ekonomi sumatera berkembang
