id|sentimen|clean_tweet
71|positif|Presiden bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu liter menjadi 6500 liter
72|positif|Bersatu Menangkan Brbagai upaya telah dilakukan utk membangun Indonesia bebas korupsi dr pelayanan berbasis elektronik sistem pengaduan masyarakat penghargaan bg masyarakat yg mengungkap korupsi
73|negatif|Leres pakdhe Salah satu aspek penting dari faktor ekonomi yg bertumbuh adalah stabilitas politik dalam negeri yg ditunjukkan dg adanya kepastian dan keadilan dalam penegakan hukum Jadi pripun kabare pakde
74|negatif|demikian pak walau pendidikannya tentara tapi ayahnya seorang ekonom legendaris di Indonesia ya kali deh gak ngerti makro dan mikro makro dan mikro pelajaran semester 1 2 di fakultas ekonomi CMIIW ketauan jae baru belajar ekonomi kacaw
75|netral|Jangan terlalu bangga dengan jalan Jika ekonomi jatuh terus Nengara menag buka melihat jalanya yg megah Seharusnya hasil bumi laut yg melimpah ruah terlebih dahulu baru idonesia maju menjadi pemenang
77|netral|Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu liter menjadi 6500 liter
78|netral|Katanya Jas itu harga mahal dan pakaian orang2 eropa dan amerika
79|netral|Prabowo Janjikan Harga Karet dan Kelapa Sawit Bikin Senyum Petani
80|netral|Orang ini sangat dihargai oleh Raja Arab Saudi Dia Pemimpin ku
81|negatif|mencontoh ekonomi china bukannya sujud seperti sekarang ini
82|positif|Fyi gaes Berbagai pencapaian telah berhasil tercapai Khususnya pertumbuhan ekonomi di era pemerintahan JK sangat jauh meningkat
84|netral|Kepercayaan hanya diberikan pd mrk yg berpengalaman Seorang memiliki wakil yg berpengalaman dibidang ekonomi
85|negatif|Berapa sih gaji presiden dan wakil presiden Berapa sih tunjangannya Kalau kalian mengatakan tdk akan ambil sepeserpun gaji dan tunjangan baru hebat Itu baru jualan klu hanya gaji itu namanya jualan basi
86|positif|Mungkin pak mengharap ketulusan karyawan untuk tidak menuntut gaji
87|netral|Jamu Jokowi Raja Salman Sajikan Nasi Mandhi Warta Ekonomi
88|positif|Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan Namun di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan
89|negatif|Kami moslem kami menghormati dan menghargai umat agama Laen Kami cinta damai karena Islam mengajarkan utk berbuat baik kpd semua manusia tanpa terkecuali Dan kamipun pendukung 02 Bhineka tunggal Ika
90|positif|Tidak akan ambil gaji serupiah pun jika terpilih sbg Presiden RI Benar kata alm Gus Dur orang yg paling ihlas utk Indonesia adalah prabowo pic twitter com VMyb
91|netral|Jokowi Ma ruf Bicara Pengalaman Prabowo Sandi Janji Tak Ambil Gaji
92|netral|Pilih pemimpin itu yg udh jelas banyak pencapaiannya Nah ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi
93|negatif|Gak perlu suudzon di samping umroh pak jokowi juga membahas kerja sama di bidang ekonomi dengan pemerintahan Arab Saudi Gak usah nyinyir bro urus tuh junjunganmu yg lagi ziarah kubur moga2 aja gak nyembah kuburan
94|positif|Pemerintah Jokowi juga menyebut masa depan ekonomi Indonesia Di tangan anak anak muda kreatif
95|positif|Keberhasilan tidak hanya dibidang infrastruktur Jokowi jg berhasil memperbaiki ekonomi Indonesia
96|positif|Jokowi Ma ruf Pemimpin Indonesia Beberapa penghargaan yg dianugerahkan kepadanya menjadi bukti bahwa adalah sosok pemimpin yg diakui integritasnya
97|negatif|Mahal banget buat satu beginian untuk hasilkan 1 MW harganya bisa lebih mahal dari satu power plant yang bisa produksi 10 MW
98|netral|Jokowi bahas ekonomi makro dan mikro ya makanan sehari2 Sandiaga dari dulu itu sih fatal untuk ada ET keluarlah I Spot sejenis revolusi 4 0 Sok futuristik padahal otaknya antik
99|negatif|Prabowo Sandi Sepakat Ekonomi Indonesia Salah Arah pic twitter com UYuIsDr3ur
100|negatif|Prabowo Sandi Sepakat Ekonomi Indonesia Salah Arah Via pic twitter com FQQVzcojs4
103|netral|Fyi gaes Beberapa penghargaan yg dianugerahkan kepadanya menjadi bukti bahwa adalah sosok pemimpin yg diakui integritasnya
104|negatif|Ketika wanita lain cerewat pada suaminya kamu hanya cerewet sama tukang sayur yang harganya naik
105|negatif|kalau emang prabowo mau seenggaknya prepare untuk persona agamis kaya belajar ngaji gtgt yakin 1000 bakal menang tapi ya counter jokowi juga dengan rekrut MA ini bikin malah ga ketebak alurnya wkwkwk asli dah padahal prabowo cuma perlu jadi islami doang aslinya biar menang
106|netral|Pentingnya sisi industri kreatif dan inovatif di era industri global Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif Bekraf menjadi sebuah kementerian
107|netral|Buka PorProv Jateng Ganjar Ingin Kepala Daerah Contoh Jokowi Hargai Atlet
108|netral|Awal mula Mudzakir menjadi guru ngaji Jokowi pada 2001 Ketika itu banyak anak anak dan orang dewasa meminta diajari membaca Al Quran secara privat
109|netral|Untuk Indonesia Maju Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan Namun di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan
110|positif|Jokowi mendukung Esport di indonesia Mobile Legend PUBG Free Fire DLL prabowo lebih memperdulikan sandang pangan harga harga turun Gua udah punya pilihan skarang
111|netral|17 April Pilih Jokowi KMA Pilih pemimpin itu yg udh jelas banyak pencapaiannya Nah ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi
112|negatif|namun adlh antara masyarakat banyak yg bekerja nyata membayar pajak namun dieksploitasi dirampok hak 2 hartanya dengan sedikit org yg menetapkan aturan meraup keuntungan serta ingin selalu mengeksploitasi merampok harta negara bangsa serta menghindari pajak
113|netral|17 April Coblos Jokowi Ma ruf Pilih pemimpin itu yg udh jelas banyak pencapaiannya Nah ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi
115|netral|17 April Pilih Jokowi KMA Pemerintah Jokowi juga menyebut masa depan ekonomi Indonesia Di tangan anak anak muda kreatif
117|negatif|Gak ngaruh jokowi mau ke kutub utara juga rakyat taunya barang dan harga harga murah berobat gampang percuma mau kemana aja kalau hutang negara malah nambah
118|netral|Terpilih jadi Presiden Wapres Prabowo Sandi Berjanji Akan Berikan Gajinya bagi Kaum Miskin
120|netral|Demokrat Minta Prabowo Hargai Kontribusi Presiden Sebelumnya
121|positif|Jokowi KMA Pemimpin Optimis Beberapa penghargaan yg dianugerahkan kepadanya menjadi bukti bahwa adalah sosok pemimpin yg diakui integritasnya
122|positif|madura prabowo harga mati
123|positif|prabowo harga mati titik
124|netral|Saat Jokowi masih menjadi pengusaha mebel di Solo Mudzakir guru ngaji Bpk pernah mendapat oleh oleh dari muridnya sepulang dari Jerman Yaitu korek api Zippo
125|netral|Berbagai pencapaian telah berhasil tercapai Khususnya pertumbuhan ekonomi di era pemerintahan JK sangat jauh meningkat
126|netral|Sy hargai sikap anda bang tp lgsg unfol tanpa sy tau mslah sblm ini rasanya aneh jg bang lagian yg bikin tweet mention yg brsangkutan jg kan pasti punya tujuan baik jg buat mengingatkan Apa gak malah kontraproduktif kl lgsg diunfol
127|negatif|Ya allah apa mgkn sosok seorg jokowi berani sprti itu kl capres anda sih mgkn jg tlg jgn fitnah presidenku sprti itu kl jokowi diberi jln itu krn beliau org baik pak dan presiden yg sangat dihargai ah sy curiga jgn2 anda mau blg ini cawapres anda
128|positif|Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan Namun asal kalian tau di zaman Pak bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan
131|negatif|Gaji mah ga seberapa Yg penting cegah dan berantas korupsi Mau ga cegah dan berantas korupsi kolusi nepotisme Ini yg jadi pertanyaan masyarakat Sekarang ini baru Jokowi dan Ahok yg sangat dipercaya masyarakat utk kemauan dan keberanian berantas Korupsi Kolusi Nepotisme
133|negatif|Bukan ga ngerti n ga nyambung ttg pertanyaan ML tp emng ML ga nyambung dg tema DEBAT jd ga penting tuk djawab n dbahas Rakyat itu yg utama no 1 KESTABILAN HARGA PANGAN N KETERSEDIAANNYA dr petani sndr Negara Agraris ko sembrang IMPORT
134|positif|Mencoblos beramal Kenapa demikian Karena dan jika terpilih insyaallah mereka akan menginfakkan gajinya buat kaum dhuafa Suara kita g sia sia kawan Mari kita dukung niat mereka
135|netral|Pilih pemimpin itu yg udh jelas banyak pencapaiannya Nah ini dia 5 pencapaian ekonomi selama pemerintahan Pak
136|negatif|Kalau dihargai masa sudah satu periode bapak Jokowi tidak memberikan jabatan sama loe Pikirin itu
137|netral|Berita terbaru Naikkan Rasio Pajak Prabowo Terkenang Orde Baru telah ada di pic twitter com BuFW3h9qec
138|positif|gue kasih tau Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu liter menjadi 6500 liter
140|negatif|bener juga sih kan kata bapak aja jelas Pak Jokowi dapat penghargaan dimana2 di luar negeri Jangan sampe segitu pak kalo mau menang kasihan rakyat
141|netral|dan pentingnya sisi industri kreatif dan inovatif di era industri global Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif Bekraf menjadi sebuah kementerian
142|netral|Pak bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu liter menjadi 6500 liter
143|positif|Bersatu Dukung Jokowi Amin Menterinya aja berprestasi apalagi pemimpinnya Bisa dikatakan era lah dimana sejumlah menterinya banyak meraih penghargaan
145|negatif|KPU di bawah pemerintah rezim yg berkuasa skarang Kenapa yg salah prabowo Memangnya yg gaji KPU presiden prabowo ya
146|negatif|Denny ini sementara menghinakan dirinya sendiri dihadapan publik Merasa hebat tapi sayangnya TOLOL kelihatan di ILC jadi ayam sayur Apalagi mau sok nyentil ttg agama sdh pasti otakmu gak bakalan sampai Den kamu belajar ngaji dulu lah sebelum sok mau nyentil UAH
148|positif|Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi pic twitter com tMqKvJsMR6
149|negatif|9 Jokowi Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi
151|netral|Saya pilih jokowi karena saya pingin indonesia maju Saya tidak pilih prabowo krna saya tdk ikhlas uang pajak tiap thn yg saya bayar untuk para koruptor diksh pensiunan
152|netral|Fyi gaes Menterinya aja berprestasi apalagi pemimpinnya Bisa dikatakan era lah dimana sejumlah menterinya banyak meraih penghargaan
153|negatif|Yg dikritik infrastruktur karena pembiayaan ke China tapi mencontoh kemandirian china yg berhasil pasti tdk nyambung juga ya pak seperti koalisi dgn Demokrat tapi mengkritik kegagalan ekonomi karena kesalahan pemimpin sebelumnya
155|positif|Dengan mencoblos prabowo sandi anda telah beramal selama 5 tahun karena gaji prabowo sandi disumbang untuk dhuafa anak yatim dll pic twitter com aoZydw6bu0
156|positif|Presiden Jokowi dan Raja Salman bin Abdulaziz al Saud melakukan pertemuan bilateral Keduanya sepakat akan meningkatkan kerja sama di bidang ekonomi
158|positif|Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu liter menjadi 6500 liter Tanggal 17 April terus dan menggandeng ulama dan pasti
161|positif|Fyi gaes Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu liter menjadi 6500 liter
162|negatif|Kalau yg difitnah ulama oposisi Polri diam walau mereka digaji uang negara coba pro langsung gaspol Tolong pak setelah terpilih buang semua petinggi polri era tito ke pedalaman ganti yg baik
163|netral|Pada debat kemarin katanya anda berdua tidak akan ambil gaji bila kelak terpilih menjadi presiden wakil presiden atas dasar apa kiranya tidak mengambil hak anda itu Terimakasih
164|netral|Pemerintah juga menyebut masa depan ekonomi Indonesia Di tangan anak anak muda kreatif
166|negatif|Ga laku semuan pernyataan mu mas masyarakat sudah cerdas kami sudah muak atas ketidak adilan ketidak pastian hukum ketidakpastian ekonomi orang kecil anti kritik dan pembatasan kebebasan berpendapat Semoga allah memberikan hidayah kepada kita semua Kami ingin perubahan
168|positif|Yang terpenting itu prabowo dan sandi berkomitmen untuk menurunkan harga listrik 900 w udah gitu aja Kok kalian pendukung si jae yang ga setuju Kami pendukung prabowo sandi setuju aja kok Dan semoga pak prabowo adalah pemimpin yang tepati janji kampanye Ga kayak si jae
174|netral|Menurut Jokowi warga di Papua juga berhak merasakan harga BBM yang sama seperti di pulau jawa
175|netral|Ingin skill anak bangsa dihargai di negara sendiri 17 April Tusuk Prabowo Sandi
176|netral|Jalan tol trans Sumatera bukan Melanjutkan tapi pak Jokowi yg mulai duluan Ekonomi kita berkembang 5 dalam setahun disaat ekonomi negara lain tidak berkembang bahkan minus Rupiah sekarang 14 300 stabil sejak zaman SBY Inflasi di setiap negara pasti ada Apa lagi
177|netral|mau tanya impact buat negara kek gimana kalo gamers ini difasilitasi bisa bikin negara lain mandang gamers indo hebat bisa tuh diadain penyelenggaraan game internasional di indo impact apa sponsor banyak kunjungan wisatawan meningkat ekonomi sekitar bisa maju
178|netral|Subsidi yg tepat sasaran itu baik semua pasti setuju Tapi kalau bicara daya beli masyarakat melemah sesaui dgn topik ekonomi yg kita bahas apa pd tdk setuju
179|netral|bisa psimis amat si jd orang dr pecinta game lu bisa jadi developer game nyerap tenage kerja iyalah dr game lu bisa jualan printilan2 yg dibutuhin misal diamond mobilegend apa2 tuh dibangun pelan2 dr bawah bukan langsung tanya bisa ngubah ekonomi makro ato gak
180|netral|Kalo dari Lampung ke Aceh makan waktu 4 hari 4 Malam pake jalan umum Kalau pake tol 1 hari Bensin irit barang cepat sampai transport Bahan pangan jadi murah Harga bahan pokok murah Terus yang bikin harga bahan pokok naik dimana
182|negatif|Dolar udh lama turun tong kalo ga ngerti ekonomi jgn sok bicara ekonomi Belajar ekonomi dulu sana
183|netral|Setelah melihat dirut PAM dan JAkpro diisi dgn org2 Pak Sandi pemenang tender penyedia susu dr perusahaan Pak Prabowo belum lagi yang lain2 yang belum terungkap Apalah arti uang recehan gaji pokok jadi pejabat publik mending buat pencitraan aja tidak usah diambil
185|negatif|Kalo masalahnya bayar jalan biasa pun tetep bayar lho walau secara nda langsung lewat pajak Kalo gabayar darimana duit perawatannya
186|netral|emang terbukti sandi jadi gubernur gak di ambil gajinya
189|netral|Pertemuan Jokowi dengan Menlu Thailand mendorong keterlibatan ASEAN untuk membantu Myanmar dalam penyelesaian konflik Rohingya Selain itu secara khusus Jokowi menyampaikan satu isu terkait dengan harga karet dunia
190|netral|Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi News
191|netral|Presiden Jokowi Gelar Pertemuan Dengan Raja Salman Bahas Kerja Sama Ekonomi
192|positif|Infrastruktur itu penting untuk perekonomian dan pemerataan tapi ingat membangun itu semua tidaklah gratis semua dibangun melalui hutang dan dibayar melalui pajak ke rakyat jagalah amanah rakyat jika terpilih kembali dan jangan kamu menghianati demokrasi sehat selalu presidenku
193|negatif|Litah tk bertulng owo bilng mndiri di kaki sndiri tpi bljr dri cina pjk di hpus yg gji elit dn exsekutif siapa klo cuma omng sembako murh listrik murh jokowi juga bisa tpi negara ambruk murah setahun 2 thun negara nombok trus naik lgi harga2
195|positif|Perubahan segalanya yg paling utama keadilan sosial bagi seluruh Rakyat indonesia khususnya HARGA SEMBAKO murah
196|positif|Yusuf Mansur menilai Ma ruf Amin sebagai sosok yang ideal untuk mendampingi Jokowi maju dalam pemilihan presiden pilpres 2019 Pasangan ini diharapkan nantinya mampu mendongkrak ekonomi syariah
200|negatif|Gw bertanding apa sampe kalah Gubernur Indonesia Anies B Wina ini jauh melompat pakar ekonomi kelola keuangan tp harga pada naik ekonomi masy tak meningkat Trus ajakannya cuma bisa suruh ikat pinggang yg kencang dan sabar Sorry yg terbiasa di jalan tak kenal sensi
202|positif|Pernyataan penutup yg gemilang Cukup satu kartu tidak akan mengambil gaji dan 13 kali ke TPS Tusuk Prabowo Sandi Ditambah lg Pak Prabowo yg mengatakan dana desa adlh atas inisiatif beliau saat menjabat sebgai ketua HKTI tanpa perlu dipolitisasi
